#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Bob_Windle	film,0.7119529719137818	generic,0.15153494448073154	family,0.048334421946440234	war/ancient,0.035924232527759635	politics/art,0.016982364467668192	music/orchestra,0.009144350097975179	royalty,0.008491182233834096	music/rock,0.007838014369693011	empire/religion,0.006531678641410843	literature,0.0032658393207054214
Bobby_Robson	film,0.3737864077669903	royalty,0.1796116504854369	politics/art,0.07281553398058252	family,0.06796116504854369	music/orchestra,0.06310679611650485	empire/religion,0.06310679611650485	literature,0.05339805825242718	generic,0.04854368932038835	war/ancient,0.043689320388349516	music/rock,0.03398058252427184
Bradley_Joseph	music/rock,0.3228346456692913	music/orchestra,0.11811023622047244	politics/art,0.11023622047244094	literature,0.08661417322834646	family,0.07086614173228346	film,0.07086614173228346	war/ancient,0.07086614173228346	generic,0.05511811023622047	royalty,0.05511811023622047	empire/religion,0.03937007874015748
Brian_Horrocks	film,0.1810344827586207	war/ancient,0.15517241379310345	politics/art,0.12931034482758622	royalty,0.09482758620689655	music/rock,0.08620689655172414	literature,0.08620689655172414	empire/religion,0.07758620689655173	generic,0.06896551724137931	family,0.0603448275862069	music/orchestra,0.0603448275862069
Bruno_Maddox	literature,0.6344005956813105	music/rock,0.12434847356664185	generic,0.0766939687267312	film,0.044676098287416234	family,0.04244229337304542	war/ancient,0.023827252419955324	music/orchestra,0.017870439314966492	politics/art,0.016381236038719285	royalty,0.011913626209977662	empire/religion,0.007446016381236039
Caedmon	empire/religion,0.3668639053254438	family,0.15976331360946747	literature,0.1502958579881657	generic,0.14911242603550295	music/orchestra,0.07337278106508875	politics/art,0.029585798816568046	music/rock,0.023668639053254437	royalty,0.01893491124260355	film,0.01775147928994083	war/ancient,0.010650887573964497
Calvin_Coolidge	generic,0.34774436090225563	politics/art,0.25	war/ancient,0.12781954887218044	family,0.09022556390977443	royalty,0.06390977443609022	film,0.03571428571428571	empire/religion,0.02631578947368421	literature,0.02443609022556391	music/orchestra,0.016917293233082706	music/rock,0.016917293233082706
Carlos_II_de_Inglaterra	royalty,0.5680139069969579	generic,0.2242503259452412	empire/religion,0.0686657974793568	family,0.055193394176445025	war/ancient,0.03824424163407214	politics/art,0.01564537157757497	film,0.014341590612777053	literature,0.006953498478922208	music/rock,0.0047805302042590175	music/orchestra,0.003911342894393742
Carlota_Augusta_de_Gales	royalty,0.41954377311960545	generic,0.2879161528976572	family,0.21794081381011096	literature,0.015104808877928484	war/ancient,0.014488286066584463	music/orchestra,0.011097410604192354	film,0.010172626387176326	politics/art,0.009247842170160296	empire/religion,0.0077065351418002465	music/rock,0.006781750924784217
Carolina_de_Brandeburgo-Ansbach	royalty,0.6197718631178707	generic,0.1596958174904943	family,0.09505703422053231	literature,0.028517110266159697	war/ancient,0.022813688212927757	film,0.015209125475285171	music/orchestra,0.015209125475285171	music/rock,0.015209125475285171	empire/religion,0.015209125475285171	politics/art,0.013307984790874524
Carsten_Borchgrevink	war/ancient,0.5049042503503036	generic,0.2662307333021952	family,0.0948155067725362	literature,0.04343764595983186	royalty,0.03035964502568893	film,0.020551144325081736	politics/art,0.017281644091546006	music/orchestra,0.010742643624474545	empire/religion,0.006071929005137786	music/rock,0.005604857543204111
Caspar_David_Friedrich	music/orchestra,0.26826666666666665	generic,0.1952	politics/art,0.16746666666666668	family,0.14346666666666666	literature,0.07413333333333333	royalty,0.056	war/ancient,0.048	empire/religion,0.030933333333333334	music/rock,0.009066666666666667	film,0.007466666666666667
Catalina_de_Médici	royalty,0.39259075087021383	generic,0.24216807558428644	family,0.16931874689209347	empire/religion,0.07210343112879164	politics/art,0.05146693187468921	war/ancient,0.0313276976628543	music/orchestra,0.013177523620089508	film,0.01093983092988563	music/rock,0.008453505718547987	literature,0.008453505718547987
Ceawlin_de_Wessex	empire/religion,0.4690265486725664	family,0.08849557522123894	generic,0.08849557522123894	literature,0.061946902654867256	politics/art,0.05309734513274336	music/rock,0.05309734513274336	war/ancient,0.05309734513274336	film,0.04424778761061947	music/orchestra,0.04424778761061947	royalty,0.04424778761061947
Charles_Edward_Magoon	politics/art,0.22285714285714286	generic,0.17714285714285713	family,0.1657142857142857	war/ancient,0.12	film,0.07428571428571429	literature,0.06285714285714286	empire/religion,0.05714285714285714	music/rock,0.045714285714285714	royalty,0.045714285714285714	music/orchestra,0.02857142857142857
Charles_Villiers_Stanford	music/orchestra,0.4915254237288136	literature,0.18401937046004843	royalty,0.07990314769975787	music/rock,0.05084745762711865	family,0.043583535108958835	generic,0.0387409200968523	empire/religion,0.03389830508474576	politics/art,0.029055690072639227	film,0.026634382566585957	war/ancient,0.021791767554479417
Chester_A._Arthur	politics/art,0.3022162525184688	generic,0.26729348556077903	family,0.1914036265950302	royalty,0.07991940899932841	war/ancient,0.06380120886501008	film,0.03895231699126931	music/rock,0.020819341840161182	literature,0.016118200134318333	empire/religion,0.013431833445265278	music/orchestra,0.006044325050369375
Chinua_Achebe	literature,0.2837209302325581	family,0.13488372093023257	royalty,0.09302325581395349	empire/religion,0.08837209302325581	politics/art,0.07441860465116279	music/orchestra,0.07441860465116279	music/rock,0.07441860465116279	war/ancient,0.06976744186046512	generic,0.05581395348837209	film,0.05116279069767442
Choe_Bu	empire/religion,0.16556291390728478	generic,0.152317880794702	family,0.13245033112582782	politics/art,0.13245033112582782	war/ancient,0.10596026490066225	literature,0.09271523178807947	royalty,0.07947019867549669	music/orchestra,0.052980132450331126	film,0.046357615894039736	music/rock,0.039735099337748346
