ARTICLE_NAME	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
James Rowland (RAAF officer)	0.000756227186108	0.0120019585641	0.144275368423	0.156745763284	0.00107873547146	0.031853828307	0.00047924404016	0.00132424327765	0.000540843300207	0.0283363031444	0.117466075332	0.000146752674561	0.0189516341813	0.00136686455061	0.00274529349721	0.246027156415	0.235903708352
Émile Lemoine	0.00202303505804	0.00135561933569	0.187749068474	0.000509940258615	0.0823082463297	0.000165966612952	0.000888142818215	0.0018857158116	0.0120807021747	0.00710451333096	0.021811415659	0.000220061537078	0.000747492355662	0.484242828965	0.00233731520875	0.00332245226601	0.191247483804
Oswald Watt	0.00285878294878	0.0182518318926	0.101283265053	0.187571891307	0.000454061832368	0.00142648250526	0.004089556595	0.00132888031483	0.000255411579516	0.140905293788	0.0135026740211	0.00156736824593	0.000853686980012	0.000773724184999	0.00212553704414	0.27655302044	0.246198531268
Happy Chandler	0.000153123965196	0.0981359895721	0.0119046891128	2.13231263419e-05	0.000654356707693	0.0398866920234	0.000519670427487	0.00215456369049	0.000112649578743	0.0506930265952	0.484083201885	0.0020930202643	0.00209625492103	2.00202243774e-05	0.09247491331	0.00713808830833	0.207858416287
Nikita Filatov	0.000442337750611	0.00828674013991	0.00652049099128	0.00347565978477	0.0149045195602	0.00180882746261	0.000406303138835	0.00067541218807	0.000557922858545	0.00128671690156	0.0196237781242	0.000695943134986	0.0028226985323	0.000289114094771	0.780920093704	0.000521457060231	0.156761984573
Hermann Detzner	0.00017612623852	0.000323114320831	0.0381998071944	0.237570230449	0.0268130749781	0.0232494046893	0.0585757438231	0.00205253700067	0.00461540135597	0.00475751458358	0.0126266915917	0.000357822285758	0.0513557578014	0.027718818037	0.000325590235257	0.112394863994	0.398887501422
Sam Loxton with the Australian cricket team in England in 1948	0.000281139027999	0.00214605565679	0.000211365006896	0.00203650112128	0.000564186759414	0.000271627950548	0.000125950623253	0.00437901673538	0.00420233806498	0.103034581925	0.00345960613073	0.000151007134108	0.00135464796804	3.42907156195e-05	0.5664813912	0.023707154824	0.287559139156
Albertus Soegijapranata	0.000215675364793	0.0171130185583	0.118028640667	0.000247510289898	0.020890465521	0.0085000084298	0.0117718666035	0.00319536631783	0.00671310086029	0.129562298341	0.154145356005	0.207048309164	0.0470687054404	0.000265794552501	0.000317941903636	0.08570572572	0.189210216261
Kevin O'Halloran	0.000585536152575	0.0472913650976	0.00739369057194	0.0171250827635	0.00123966105578	0.00373080460333	0.000291222756882	0.00193654290523	0.000886120678258	0.159106847255	0.00201569306712	9.36470878107e-05	0.00873876865336	0.000300065936543	0.628253333365	0.00576113694255	0.115250481108
Sex Pistols	0.0109501196297	0.016682376633	0.00205372991711	0.00164274805577	0.0514046760716	0.0448582622047	0.00462623455299	0.036463777991	0.340363463874	0.0198805626833	0.0143531551295	5.3910619547e-05	0.00333421842565	6.12199534109e-05	0.000191560848088	0.000404029342134	0.452675954069
John Day (printer)	0.0473492300129	0.196253845717	0.00959008582205	0.000195358480418	0.0004915211383	0.0456365333905	0.225958573912	0.00253599676699	0.014728748402	0.0236964798622	0.000936216188935	0.0744564103024	0.0597286506865	0.00145524356616	0.00929869726205	0.000421547922077	0.287266860567
