Name	literature	family	generic	music/orchestra	war/ancient	empire/religion	royalty	music/rock	film	politics/art
Penda de Mercia	0.05	0.07	0.12	0.04	0.06	0.48	0.05	0.04	0.04	0.05
Sadruddin Aga Khan	0.06	0.12	0.2	0.03	0.09	0.05	0.08	0.02	0.02	0.35
Józef Piłsudski	0.02	0.11	0.26	0.03	0.45	0.04	0.03	0.01	0.01	0.04
Diane Keaton	0.08	0.18	0.16	0.02	0.0	0.01	0.01	0.08	0.45	0.02
Tomás el Eslavo	0.01	0.05	0.18	0.01	0.11	0.59	0.02	0.01	0.01	0.02
Jack Sheppard	0.13	0.42	0.25	0.03	0.03	0.01	0.03	0.01	0.05	0.03
Frank Klepacki	0.1	0.12	0.08	0.08	0.1	0.05	0.05	0.14	0.16	0.1
María de Teck	0.03	0.13	0.23	0.01	0.02	0.01	0.55	0.01	0.02	0.01
R.E.M.	0.02	0.04	0.15	0.01	0.01	0.01	0.01	0.7	0.04	0.02
Gwen Stefani	0.02	0.08	0.13	0.02	0.01	0.01	0.01	0.57	0.13	0.02
Kathleen Ferrier	0.11	0.09	0.08	0.38	0.01	0.02	0.07	0.13	0.06	0.05
Giovanni Villani	0.07	0.09	0.29	0.06	0.06	0.24	0.05	0.02	0.04	0.08
Sylvanus Morley	0.1	0.14	0.21	0.02	0.11	0.04	0.02	0.02	0.05	0.29
Guillermo de Corbeil	0.04	0.08	0.11	0.05	0.06	0.24	0.28	0.03	0.04	0.06
Mário de Andrade	0.17	0.22	0.22	0.29	0.01	0.02	0.01	0.01	0.02	0.03
Rachel Carson	0.14	0.12	0.32	0.1	0.1	0.03	0.04	0.03	0.06	0.05
Jorge I de Gran Bretaña	0.01	0.03	0.23	0.01	0.03	0.05	0.61	0.01	0.01	0.02
Filetas	0.15	0.08	0.06	0.08	0.13	0.15	0.08	0.05	0.07	0.14
David I de Escocia	0.02	0.04	0.24	0.02	0.02	0.45	0.19	0.01	0.01	0.01
Thomas Baker (aviador)	0.02	0.06	0.17	0.01	0.48	0.03	0.03	0.02	0.15	0.03
Eduard Streltsov	0.01	0.06	0.16	0.04	0.16	0.02	0.03	0.02	0.47	0.03
Rutherford B. Hayes	0.03	0.07	0.14	0.02	0.25	0.03	0.08	0.03	0.07	0.28
Selena Quintanilla Pérez	0.02	0.17	0.13	0.02	0.02	0.01	0.01	0.22	0.09	0.29
Frederick Delius	0.08	0.12	0.16	0.4	0.03	0.03	0.06	0.04	0.03	0.05
María Amelia de Braganza	0.02	0.34	0.18	0.01	0.02	0.05	0.34	0.01	0.01	0.03
Slayer	0.02	0.08	0.18	0.01	0.02	0.01	0.01	0.63	0.03	0.01
Heinz Bär	0.02	0.03	0.15	0.03	0.59	0.03	0.04	0.01	0.06	0.04
Catalina de Médici	0.01	0.17	0.24	0.01	0.03	0.07	0.39	0.01	0.01	0.05
The Kinks	0.03	0.07	0.2	0.01	0.0	0.01	0.0	0.62	0.04	0.01
Eadbaldo de Kent	0.02	0.03	0.14	0.03	0.02	0.65	0.05	0.02	0.03	0.03
Bernard Fanning	0.04	0.12	0.19	0.02	0.02	0.01	0.01	0.51	0.06	0.03
Alboino	0.03	0.07	0.13	0.05	0.12	0.41	0.08	0.04	0.03	0.05
George Fox	0.08	0.25	0.45	0.02	0.03	0.07	0.07	0.01	0.01	0.02
Ban Ki-moon	0.03	0.11	0.22	0.03	0.15	0.02	0.04	0.03	0.06	0.31
Agustín de Canterbury	0.02	0.09	0.2	0.01	0.02	0.53	0.06	0.01	0.02	0.03
Esteban de Inglaterra	0.02	0.03	0.07	0.03	0.03	0.19	0.54	0.02	0.03	0.03
Benjamin Morrell	0.07	0.2	0.25	0.01	0.38	0.02	0.02	0.01	0.02	0.03
Luis de Battenberg	0.02	0.05	0.2	0.01	0.19	0.01	0.47	0.01	0.03	0.01
Brian Horrocks	0.09	0.06	0.07	0.06	0.16	0.08	0.09	0.09	0.18	0.13
