Name	music	literature + other	orchestra	family life	church/royalty	sports	royalty	film/tv	politics	military
Katie Holmes	0.11	0.03	0.03	0.02	0.01	0.08	0.03	0.66	0.02	0.02
Assassinat de William McKinley	0.02	0.03	0.01	0.3	0.01	0.02	0.01	0.02	0.35	0.23
William Cooley (colon)	0.09	0.09	0.06	0.06	0.09	0.11	0.1	0.14	0.11	0.14
Clem Hill	0.07	0.05	0.06	0.07	0.05	0.42	0.07	0.06	0.07	0.07
Lee Smith (baseball)	0.1	0.04	0.04	0.06	0.04	0.46	0.03	0.03	0.07	0.12
Thomas Percy (comploteur)	0.04	0.07	0.1	0.14	0.16	0.02	0.24	0.03	0.06	0.15
AC DC	0.72	0.01	0.01	0.13	0.01	0.02	0.01	0.03	0.0	0.05
The Wiggles	0.26	0.08	0.06	0.1	0.06	0.08	0.08	0.09	0.09	0.09
Wilfrid d'York	0.02	0.05	0.02	0.19	0.5	0.02	0.07	0.02	0.02	0.1
Werner Mölders	0.02	0.01	0.02	0.04	0.02	0.07	0.03	0.01	0.09	0.69
Radiohead	0.71	0.02	0.03	0.09	0.01	0.02	0.01	0.05	0.01	0.05
Jack Sheppard	0.07	0.07	0.08	0.07	0.07	0.12	0.1	0.13	0.1	0.19
Johann von Klenau	0.06	0.08	0.07	0.12	0.1	0.06	0.2	0.06	0.12	0.14
Zelda Fitzgerald	0.05	0.06	0.04	0.34	0.01	0.02	0.04	0.32	0.05	0.06
Lisa Gherardini	0.01	0.39	0.06	0.24	0.02	0.02	0.13	0.03	0.02	0.08
Isabella Augusta Gregory	0.07	0.14	0.09	0.11	0.09	0.05	0.11	0.21	0.05	0.1
James Blaine	0.02	0.06	0.02	0.05	0.01	0.07	0.04	0.03	0.57	0.13
Kate Bush	0.59	0.01	0.04	0.15	0.01	0.04	0.02	0.07	0.01	0.07
Cosmo Lang	0.09	0.08	0.1	0.08	0.19	0.08	0.13	0.06	0.09	0.09
Myles Standish	0.01	0.09	0.06	0.16	0.07	0.02	0.07	0.1	0.25	0.17
Solomon P. Sharp	0.07	0.08	0.08	0.08	0.09	0.08	0.08	0.08	0.28	0.09
Nathaniel Parker Willis	0.04	0.1	0.03	0.2	0.02	0.02	0.04	0.43	0.05	0.08
Marcus Trescothick	0.09	0.08	0.09	0.09	0.09	0.19	0.11	0.08	0.09	0.08
Herbert Greenfield	0.08	0.08	0.09	0.08	0.11	0.12	0.11	0.12	0.12	0.11
Pixies	0.64	0.03	0.02	0.11	0.01	0.02	0.01	0.03	0.07	0.06
William Bruce (architecte)	0.04	0.07	0.12	0.17	0.07	0.05	0.25	0.04	0.1	0.1
Mike Jackson	0.09	0.09	0.07	0.08	0.11	0.07	0.11	0.12	0.12	0.15
Sid Barnes	0.07	0.06	0.05	0.05	0.07	0.46	0.07	0.06	0.07	0.06
Stan Musial	0.05	0.03	0.03	0.03	0.08	0.61	0.04	0.03	0.06	0.04
Evelyn Waugh	0.09	0.1	0.03	0.16	0.02	0.02	0.07	0.39	0.05	0.08
Matthew Brettingham	0.06	0.07	0.14	0.14	0.11	0.09	0.09	0.1	0.07	0.13
Len Hutton	0.06	0.05	0.08	0.08	0.07	0.39	0.04	0.09	0.08	0.06
Edmund Sharpe	0.07	0.09	0.18	0.14	0.03	0.04	0.06	0.18	0.09	0.13
Hovhannes Bagramian	0.01	0.01	0.02	0.13	0.02	0.03	0.01	0.0	0.16	0.61
Murasaki Shikibu	0.04	0.42	0.07	0.12	0.04	0.02	0.11	0.04	0.03	0.11
Aspasie	0.01	0.4	0.02	0.19	0.09	0.02	0.04	0.04	0.06	0.12
Marie II d'Angleterre	0.02	0.04	0.03	0.04	0.04	0.02	0.57	0.04	0.11	0.1
Jacques II d'Angleterre	0.01	0.03	0.01	0.07	0.06	0.03	0.59	0.02	0.04	0.13
John Dee	0.03	0.49	0.05	0.16	0.03	0.01	0.05	0.04	0.04	0.1
Georg Forster	0.01	0.3	0.09	0.29	0.02	0.01	0.08	0.03	0.03	0.14
Nirvana (groupe)	0.7	0.01	0.01	0.11	0.01	0.01	0.01	0.06	0.04	0.05
Silverchair	0.64	0.04	0.02	0.03	0.03	0.04	0.03	0.1	0.04	0.03
Hod Stuart	0.02	0.02	0.02	0.12	0.01	0.68	0.02	0.02	0.01	0.07
Garret Hobart	0.09	0.05	0.05	0.07	0.08	0.05	0.05	0.09	0.36	0.09
Bill O'Reilly (cricket)	0.06	0.06	0.05	0.05	0.07	0.44	0.06	0.08	0.08	0.05
Charlotte Augusta de Galles	0.05	0.01	0.01	0.25	0.01	0.01	0.44	0.06	0.03	0.14
John Churchill (1er duc de Marlborough)	0.0	0.02	0.01	0.18	0.02	0.01	0.4	0.02	0.03	0.3
Thích Quảng Đức	0.12	0.13	0.3	0.09	0.03	0.03	0.03	0.03	0.09	0.14
Magic Johnson	0.02	0.01	0.02	0.06	0.01	0.78	0.01	0.07	0.01	0.01
Caspar David Friedrich	0.01	0.41	0.12	0.25	0.03	0.01	0.05	0.01	0.01	0.1
Lawrence Sullivan Ross	0.1	0.07	0.07	0.07	0.07	0.08	0.1	0.1	0.24	0.1
Tom Derrick	0.1	0.08	0.1	0.1	0.08	0.11	0.1	0.1	0.08	0.16
Jim Thorpe	0.04	0.04	0.03	0.17	0.01	0.51	0.03	0.07	0.05	0.05
Oengus Ier	0.02	0.03	0.01	0.06	0.7	0.02	0.02	0.01	0.04	0.09
Leo Ornstein	0.08	0.09	0.2	0.09	0.08	0.09	0.1	0.1	0.08	0.1
Victoria de Hesse-Darmstadt	0.02	0.04	0.02	0.05	0.04	0.03	0.61	0.02	0.08	0.1
Alexandre Banza	0.02	0.03	0.01	0.11	0.02	0.01	0.05	0.01	0.21	0.54
Hubert Walter	0.1	0.07	0.09	0.07	0.18	0.07	0.11	0.11	0.1	0.09
Olivia Shakespear	0.05	0.08	0.06	0.08	0.07	0.06	0.11	0.3	0.14	0.06
Constantin II d'Écosse	0.02	0.03	0.03	0.09	0.51	0.04	0.13	0.05	0.02	0.08
Joey Santiago	0.51	0.02	0.02	0.11	0.01	0.05	0.04	0.08	0.11	0.05
Wintjiya Napaltjarri	0.03	0.12	0.08	0.53	0.02	0.04	0.06	0.08	0.01	0.05
Martin Brodeur	0.01	0.01	0.0	0.04	0.01	0.89	0.01	0.01	0.01	0.02
Ray Emery	0.03	0.03	0.04	0.06	0.05	0.56	0.06	0.06	0.04	0.07
Leslie Richard Groves	0.09	0.03	0.07	0.12	0.03	0.07	0.05	0.12	0.17	0.24
Lazare Ponticelli	0.01	0.08	0.04	0.21	0.03	0.02	0.09	0.01	0.07	0.44
Miranda Otto	0.1	0.01	0.02	0.07	0.01	0.06	0.02	0.6	0.01	0.09
Tarrare	0.02	0.03	0.05	0.36	0.03	0.03	0.03	0.08	0.07	0.29
Alice Ayres	0.02	0.06	0.03	0.32	0.02	0.01	0.09	0.16	0.02	0.26
Beorhtwulf de Mercie	0.01	0.02	0.01	0.14	0.69	0.02	0.02	0.01	0.01	0.08
William Cragh	0.05	0.08	0.14	0.12	0.21	0.04	0.07	0.12	0.06	0.11
Jacques Plante (hockey sur glace)	0.03	0.06	0.05	0.07	0.03	0.52	0.07	0.04	0.04	0.1
Eardwulf de Northumbrie	0.01	0.03	0.01	0.1	0.68	0.01	0.01	0.01	0.06	0.09
Wilco	0.68	0.03	0.01	0.05	0.02	0.03	0.05	0.05	0.02	0.05
Bob Windle	0.03	0.01	0.01	0.15	0.01	0.67	0.01	0.03	0.02	0.06
Sydney Newman	0.05	0.07	0.02	0.25	0.01	0.07	0.01	0.33	0.06	0.13
Turc mécanique	0.02	0.08	0.02	0.25	0.01	0.06	0.05	0.36	0.02	0.14
Choe Bu	0.04	0.26	0.04	0.17	0.12	0.06	0.05	0.04	0.11	0.09
Isaac Brock	0.02	0.02	0.01	0.15	0.03	0.04	0.03	0.01	0.36	0.34
Rogers Hornsby	0.05	0.06	0.04	0.06	0.04	0.55	0.03	0.06	0.05	0.05
Hasekura Tsunenaga	0.01	0.36	0.0	0.3	0.09	0.01	0.03	0.01	0.04	0.15
Rudolf Wolters	0.08	0.07	0.08	0.07	0.07	0.07	0.07	0.06	0.09	0.37
Damageplan	0.41	0.05	0.1	0.06	0.05	0.06	0.03	0.07	0.09	0.07
Jovan Vladimir	0.01	0.06	0.03	0.08	0.47	0.01	0.08	0.03	0.09	0.15
Rudolf Vrba	0.01	0.06	0.07	0.16	0.03	0.04	0.01	0.02	0.04	0.56
Carsten Borchgrevink	0.02	0.04	0.01	0.64	0.01	0.02	0.03	0.02	0.09	0.12
Stephen Crane	0.08	0.1	0.02	0.13	0.03	0.03	0.07	0.46	0.06	0.02
Daniel Boone	0.01	0.06	0.01	0.17	0.02	0.0	0.02	0.05	0.54	0.1
Ion Heliade Rădulescu	0.06	0.25	0.12	0.1	0.07	0.08	0.08	0.07	0.1	0.06
Stereolab	0.54	0.03	0.08	0.05	0.02	0.03	0.05	0.13	0.05	0.04
Alain Prost	0.01	0.01	0.02	0.1	0.01	0.65	0.05	0.01	0.01	0.12
Roger Waters	0.59	0.03	0.03	0.12	0.02	0.03	0.01	0.07	0.01	0.11
Henry Wood (chef d'orchestre)	0.03	0.02	0.61	0.04	0.02	0.03	0.07	0.09	0.03	0.04
Simon Bolivar Buckner, Sr.	0.03	0.02	0.02	0.15	0.03	0.03	0.03	0.03	0.21	0.45
Roy Kilner	0.07	0.09	0.12	0.07	0.12	0.19	0.07	0.09	0.07	0.1
John Michael Wright	0.02	0.14	0.04	0.37	0.06	0.02	0.2	0.07	0.02	0.08
Adam Gilchrist	0.03	0.02	0.02	0.04	0.03	0.76	0.02	0.03	0.03	0.02
Henry Moore	0.03	0.07	0.11	0.51	0.01	0.03	0.05	0.1	0.02	0.07
Nigel Kneale	0.14	0.05	0.06	0.03	0.05	0.07	0.06	0.46	0.04	0.04
Moe Berg	0.07	0.07	0.09	0.15	0.03	0.21	0.04	0.09	0.12	0.12
Nicolo Giraud	0.03	0.11	0.05	0.2	0.06	0.04	0.08	0.31	0.06	0.08
Woodes Rogers	0.06	0.09	0.06	0.09	0.1	0.1	0.16	0.1	0.1	0.14
Minnie Pwerle	0.05	0.08	0.13	0.31	0.08	0.09	0.09	0.06	0.05	0.06
Domenico Selvo	0.01	0.02	0.01	0.18	0.48	0.01	0.04	0.01	0.04	0.21
William Burges	0.09	0.09	0.15	0.07	0.13	0.09	0.12	0.09	0.07	0.09
Édouard VI d'Angleterre	0.01	0.13	0.01	0.21	0.06	0.01	0.4	0.01	0.02	0.15
Satyajit Ray	0.02	0.09	0.06	0.26	0.01	0.03	0.02	0.42	0.01	0.09
Aldred	0.05	0.06	0.08	0.05	0.44	0.05	0.11	0.06	0.06	0.06
Adrian Boult	0.05	0.08	0.33	0.15	0.04	0.06	0.07	0.07	0.06	0.08
Wihtred de Kent	0.01	0.04	0.01	0.09	0.67	0.02	0.05	0.01	0.01	0.08
Albert Kesselring	0.0	0.02	0.01	0.04	0.02	0.01	0.02	0.01	0.19	0.68
Isaac Shelby	0.05	0.03	0.03	0.09	0.04	0.05	0.06	0.03	0.44	0.19
Maxime le Confesseur	0.01	0.42	0.03	0.06	0.23	0.02	0.03	0.01	0.07	0.12
Samantha Smith	0.03	0.08	0.02	0.22	0.02	0.02	0.05	0.07	0.31	0.18
Robert Falcon Scott	0.01	0.03	0.01	0.64	0.02	0.04	0.04	0.03	0.02	0.16
Tim Duncan	0.04	0.01	0.01	0.08	0.01	0.72	0.01	0.05	0.01	0.06
Thérèse-Christine de Bourbon-Siciles	0.01	0.04	0.02	0.29	0.01	0.01	0.48	0.01	0.02	0.12
Calvin Coolidge	0.02	0.03	0.01	0.08	0.01	0.01	0.02	0.03	0.67	0.13
Cenred de Mercie	0.02	0.04	0.01	0.08	0.73	0.01	0.02	0.01	0.04	0.05
Reese Witherspoon	0.16	0.01	0.01	0.04	0.01	0.04	0.01	0.66	0.03	0.03
Gilberto Silva	0.02	0.03	0.01	0.16	0.01	0.59	0.03	0.01	0.02	0.13
Strapping Young Lad	0.65	0.02	0.02	0.11	0.01	0.03	0.02	0.06	0.02	0.06
William T. Anderson	0.07	0.1	0.07	0.09	0.06	0.09	0.11	0.19	0.15	0.08
Ruby Laffoon	0.11	0.1	0.08	0.1	0.1	0.08	0.08	0.1	0.17	0.1
Ram Narayan	0.1	0.07	0.29	0.1	0.08	0.05	0.09	0.11	0.06	0.05
Elias Ashmole	0.04	0.23	0.07	0.12	0.07	0.04	0.13	0.08	0.1	0.12
Josquin des Prés	0.01	0.1	0.58	0.13	0.07	0.0	0.02	0.01	0.01	0.06
William O'Connell Bradley	0.1	0.1	0.08	0.1	0.08	0.1	0.08	0.1	0.18	0.08
