name_eng	name_spa
Patricia Belcher	Patricia Belcher
Juan García Rodríguez	Juan García Rodríguez
Leo Testut	Leo Testut
Jack O'Connell (actor)	Jack O'Connell
Clelia Barbieri	Clélia Barbieri
Francesco Guardi	Francesco Guardi
Mia Couto	Mia Couto
Louis-Marie-Joseph Maximilian Caffarelli du Falga	Louis Marie de Caffarelli du Falga
Pablo Mastroeni	Pablo Mastroeni
Robert Peake the elder	Robert Peake el Viejo
Carlos Chagas	Carlos Chagas
Sabrina Garciarena	Sabrina Garciarena
Norman Newell	Norman Newell
Damián Malrrechaufe	Damián Malrrechauffe
Robert C. Schnitzer	Robert C. Schnitzer
Paul Hausser	Paul Hausser
Valerius Antias	Valerio Antias
Léger-Félicité Sonthonax	Léger-Félicité Sonthonax
Bil Baird	Bil Baird
Edwin Aguilar	Edwin Aguilar
Kafū Nagai	Kafū Nagai
Alberto Puig	Alberto Puig
José Antonio Fortea	José Antonio Fortea Cucurull
Louis XI of France	Luis XI de Francia
Roman Rudenko	Román Rudenko
Jean Joseph Marie Amiot	Joseph-Marie Amiot
Ita Aber	Ita Aber
Róbert Szelepcsényi	Róbert Szelepcsényi
Cristóbal Mosquera de Figueroa	Cristóbal Mosquera de Figueroa
Juan Martín Cadelago	Juan Martín Cadelago
Richard Olivares	Richard Olivares
Pedro de Morales	Pedro de Morales
Fab Melo	Fab Melo
Ginger Lynn	Ginger Lynn
Ignacio Flores	Ignacio Flores Ocaranza
Frankie Fredericks	Frankie Fredericks
Lucius Accius	Lucio Accio
Florence Griffith-Joyner	Florence Griffith Joyner
Juan Alvarado Marin	Juan Alvarado Marin
Francisco Piña	Francisco Piña
Dakodonou	Dakodonou
Liam Neeson	Liam Neeson
Diego Sánchez (footballer)	Diego Sánchez Carvajal
Pedro Guilherme-Moreira	Pedro Guilherme-Moreira
D. J. Mink	Douglas J. Mink
Wen Wang Gua	Wen Wang Gua
Fred Quimby	Fred Quimby
Sigiswald Kuijken	Sigiswald Kuijken
Henry Sylvester-Williams	Henry Sylvester Williams
Laurence Ekperigin	Laurence Ekperigin
