name_eng	name_spa
Erna Sack	Erna Sack
Warren Cann	Warren Cann
Ghost Adventures	Ghost Adventures
Pixodarus of Caria	Pixodaro
Solf Circle	Círculo de Solf
Roxy Jezel	Roxy Jezel
Shawn Roberts	Shawn Roberts
Will Hicok Low	Will Hicok Low
Dick Rosenthal	Dick Rosenthal
John Philoponus	Juan Filópono
Ralf Mackenbach	Ralf Mackenbach
Nashla Aguilar	Nashla Aguilar
Juan Garaizabal	Juan Garaizabal
Uriel Feige	Uriel Feige
Stuart Newman	Stuart Newman
William T. Watson	William T. Watson
Andy Anderson (drummer)	Andy Anderson
Frederick II, Grand Duke of Baden	Federico II de Baden
Juninho Pernambucano	Juninho Pernambucano
Arleen Sorkin	Arleen Sorkin
Mattathias	Matatías
Emilio Herrera Linares	Emilio Herrera
Sam Clancy, Jr.	Sam Clancy, Jr.
Allan Johansen	Allan Johansen
Pepe Díaz	José Díaz Sánchez
Kasper Klostergaard	Kasper Klostergaard
Kim Chambers	Kim Chambers
Neil Emblen	Neil Emblen
Alfredo Baldomir	Alfredo Baldomir
Tim James (basketball)	Tim James
Drowning Pool	Drowning Pool
Mozah bint Nasser Al Missned	Mozah bint Nasser Al Missned
Jonah Bobo	Jonah Bobo
Clay Bennett	Clay Bennett
George Glas	George Glas
Mohamed Badawi	Mohamed Badawi
Serge Moscovici	Serge Moscovici
Ivan Starov	Iván Stárov
Jean de Marigny	Juan de Marigny
Tremaine Fowlkes	Tremaine Fowlkes
Evgeny Telishev	Evgeny Telishev
Nazril Irham	Ariel Peterpan
Corey Brewer	Corey Wayne Brewer
Erra Fazira	Erra Fazira
Emperor Chōkei	Emperador Chōkei
Ariarathes VIII of Cappadocia	Ariarates VIII
Luis Muriel	Luis Muriel
Gerald Ford	Gerald Ford
Salvador Videgain	Salvador Videgain García
David Degen	David Degen
W. S. Gilbert	W. S. Gilbert
Edward Cullinan	Edward Cullinan
Johann Gottlieb Goldberg	Johann Gottlieb Goldberg
Tiribazus	Tiribazo
Freenode	Freenode
Alan Clark (keyboardist)	Alan Clark
Pier Francesco Mola	Pier Francesco Mola
Pablo Orbaiz	Pablo Orbaiz
Susana Martinez	Susana Martínez
Juan Manuel Márquez	Juan Manuel Márquez
Nishikawa Sukenobu	Nishikawa Sukenobu
Geert Bourgeois	Geert Bourgeois
Flavio Caballero	Flavio Caballero
Walter Schachner	Walter Schachner
Lucas de Heere	Lucas de Heere
Cachao López	Cachao López
Tullio Lombardo	Tulio Lombardo
Tom Spanbauer	Tom Spanbauer
Edwin Beard Budding	Edwin Beard Budding
Charles Nicholas Aubé	Charles Nicholas Aubé
Jamie Doran	Jamie Doran
Bobby V	Bobby Valentino
Rebecca De Mornay	Rebecca De Mornay
Higinio Cazón	Higinio Cazón
Ambroise Vollard	Ambroise Vollard
Al Reyes	Al Reyes
Boss AC	Boss AC
Ken Murray (entertainer)	Ken Murray
Norberto Díaz	Norberto Díaz
Eva Arias	Eva Arias
Pedro de Ursúa	Pedro de Ursúa
Andreas Haider-Maurer	Andreas Haider-Maurer
Knut Anders Sørum	Knut Anders Sørum
Tuya (queen)	Tuya (reina)
Lawrence Foster	Lawrence Foster
Bartolomé Ordóñez	Bartolomé Ordóñez
Raúl González (athlete)	Raúl González Rodríguez
Sophie of Pomerania	Sofía de Pomerania
André Felipe Ribeiro de Souza	André Felipe Ribeiro de Souza
Alejandro Obregón	Alejandro Obregón
Juliana of Liège	Juliana de Cornillon
George Granville, 1st Baron Lansdowne	George Granville
Pierre Seel	Pierre Seel
Sérgio Comba	Sergio Comba
Anna Mjöll	Anna Mjöll
El Chojin	El Chojin
Dickie Hemric	Dick Hemric
Abdullah ibn Saba'	Abdalá ibn Saba
José Orúe	José María Orúe
Albert Jorquera	Albert Jorquera
Martina Schild	Martina Schild
John Minsheu	John Minsheu
Jacques Couet	Jacques Couet
Pantites	Pantites
Baywatch	Baywatch
Josh Grant	Josh Grant
Aleida Guevara	Aleida Guevara
Dave Pybus	Dave Pybus
Antonio Salvador Sucar	Antônio Salvador Sucar
Christiana Figueres	Christiana Figueres
Woody Brown (actor)	Woody Brown
Ben Poquette	Ben Poquette
Yitzhak Rabin	Isaac Rabin
Richard Gwyn (martyr)	Ricardo Gwyn (mártir)
Gloria La Riva	Gloria La Riva
Angélica Palma	Angélica Palma
Simon Bross	Simon Bross
Flavio Emoli	Flavio Emoli
Guido Onor	Guido Onor
Guillermo Hernández (footballer)	Guillermo Hernández "El Campeón"
Ignacio María González (politician)	Ignacio María González (político)
Ornella Oettl Reyes	Ornella Oettl Reyes
Alexandra Popp	Alexandra Popp
José Oliva	José Oliva
Ovide Decroly	Ovide Decroly
Karl Landsteiner	Karl Landsteiner
Girolamo Savonarola	Girolamo Savonarola
Constant Montald	Constant Montald
Joost Posthuma	Joost Posthuma
Sully Prudhomme	Sully Prudhomme
Christian August II, Duke of Schleswig-Holstein-Sonderburg-Augustenburg	Christian Augusto, duque de Augustenburg
Julia Vakulenko	Julia Vakulenko
Óscar Córdoba	Óscar Córdoba
José Pampuro	José Pampuro
Everett Ruess	Everett Ruess
Jane Colden	Jane Colden
Peter Hoekstra (footballer)	Peter Hoekstra
Gustav Fischer	Gustav Fischer
Helena Mattsson	Helena Mattsson
Filip Šebo	Filip Šebo
Gerald of Wales	Giraldus Cambrensis
Taylor Coppenrath	Taylor Coppenrath
John, Duke of Durazzo	Juan de Durazzo
Jess Rodriguez	Jess Rodríguez
Horst Blankenburg	Horst Blankenburg
Vladimir Resin	Vladímir Resin
May Ziade	May Ziyadah
Rafael María Baralt	Rafael María Baralt
Natasha Klauss	Natasha Klauss
Alcides Araújo Alves	Alcides Araújo Alves
Erik Moreno	Erik Moreno
Jostein Wilmann	Jostein Wilmann
Dariusz Wosz	Dariusz Wosz
Tim Krabbé	Tim Krabbé
N. K. Jemisin	N. K. Jemisin
Joaquín del Olmo	Joaquín del Olmo
Erjon Bogdani	Erjon Bogdani
Marlyn Meltzer	Marlyn Wescoff Meltzer
David M. Stern	David M. Stern
Freddie Fox (actor)	Frederick Fox
Iacopo Rusticucci	Jacopo Rusticucci
Robert Wilson (crime novelist)	Robert Wilson (novelista)
Blaise Kouassi	Blaise Kouassi
Massimo Busacca	Massimo Busacca
Prince Ludwig Ferdinand of Bavaria	Luis Fernando de Baviera
Johann Gottfried Zinn	Johann Gottfried Zinn
Evencio Castellanos	Evencio Castellanos
Melissa M	Melissa M
Delirious?	Delirious?
Ignacio Barraquer	Ignacio Barraquer
Amorges	Amorges
James White (basketball)	James White
Tomaž Šalamun	Tomaž Šalamun
Jane Ira Bloom	Jane Ira Bloom
Jerrod Laventure	Jerrod Laventure
James Patterson Lyke	James Patterson Lyke
Tristania (band)	Tristania
Ibrahim Rojas	Ibrahim Rojas
Gloria Guardia	Gloria Guardia
Fray Juan de Torquemada	Juan de Torquemada (misionero)
Ovídio Manuel Barbosa Pequeno	Ovídio Manuel Barbosa Pequeno
Andrew Kim Taegon	Andrés Kim Taegon
Charles McCann	Yale Mervin Charles McCann
Mikhail Lifshitz	Mijaíl Lifschitz
Sebastián Cordero	Sebastián Cordero
Alexey Navalny	Alexey Navalny
Segundo Castillo	Segundo Alejandro Castillo
Iracema Trevisan	Iracema Trevisan
Adriano Cintra	Adriano Cintra
José Luis Sáenz de Heredia	José Luis Sáenz de Heredia
Cecilia Suárez	Cecilia Suárez
Rocío Garcel	Rocío Garcel
Christian Miniussi	Christian Miniussi
Emily Brydon	Emily Brydon
Vonta Leach	Vonta Leach
Dimitris Diamantidis	Dimitris Diamantidis
Arthur Aston (army officer)	Arthur Aston
Sandy Mayer	Sandy Mayer
Ricardo Acuña	Ricardo Acuña
Ludwig Thuille	Ludwig Thuille
Giandomenico Mesto	Giandomenico Mesto
Lynn Okamoto	Lynn Okamoto
Javier Villa	Javier Villa
Mauro Bergamasco	Mauro Bergamasco
Joseph Alexander Altsheler	Joseph Alexander Altsheler
Kanata Hongō	Kanata Hongō
Michael Fisher	Michael E. Fisher
Hu Weide	Hu Weide
Neil Leach	Neil Leach
Fabrice Pancrate	Fabrice Pancrate
Paul Davis (basketball)	Paul Davis
Samuel L. Mitchill	Samuel Latham Mitchill
Luis Rubiños	Luis Rubiños
Tim Gunn	Tim Gunn
Bibiano Zapirain	Bibiano Zapirain
C. Cameron Macauley	C. Cameron Macauley
Manlio Argueta	Manlio Argueta
Enrique Figaredo Alvargonzalez	Enrique Figaredo Alvargonzález
Robert Salerno	Robert Salerno
Darius Johnson-Odom	Darius Johnson-Odom
Diana Bellessi	Diana Bellesi
Lee Soo-sung	Lee Soo-sung
Freddy Bernal	Freddy Bernal
Miguel Ramos Arizpe	Miguel Ramos Arizpe
Tennessee Williams	Tennessee Williams
Rutland Barrington	Rutland Barrington
Jerry Hadley	Jerry Hadley
Swami Vivekananda	Swami Vivekananda
Leo of Ostia	Leo de Ostia
Jorge de Menezes	Jorge de Menezes
Michael Azerrad	Michael Azerrad
Johannes Weinrich	Johannes Weinrich
Justo Sierra O'Reilly	Justo Sierra O'Reilly
Nhá Chica	Nhá Chica
Garry Marsh	Garry Marsh
Helmut Lent	Helmut Lent
Emil Rathenau	Emil Rathenau
Joaquín García Morato	Joaquín García-Morato
Bei Maejor	Bei Maejor
Lorenzo Latorre	Lorenzo Latorre
Amy Pond	Amy Pond
Sasha Kaun	Sasha Kaun
Marco Bortolami	Marco Bortolami
Julio César Godoy Toscano	Julio César Godoy Toscano
Dmitri Shepilov	Dmitri Shepílov
Remexido	Remexido
Mark Clattenburg	Mark Clattenburg
Bobby Wanzer	Bobby Wanzer
Noé Hernández	Noé Hernández
Kid Gavilán	Kid Gavilán
Liliana Abud	Liliana Abud
Helen Graham (historian)	Helen Graham
Christian von Wernich	Christian Von Wernich
Javi Venta	Javi Venta
António Alva Rosa Coutinho	António Alva Rosa Coutinho
Cielo d'Alcamo	Cielo d'Alcamo
José María Coppinger	José Coppinger
Eduardo Pereira Rodrigues	Eduardo Pereira Rodrigues
Edward Seymour, Viscount Beauchamp	Edward Seymour, vizconde de Beauchamp
Nadine Labaki	Nadine Labaki
Gerhard Schröder	Gerhard Schröder
José Sarmiento de Valladares, 1st Duke of Atrisco	José Sarmiento Valladares
Antonio Soller	Antonio Soller
Nina Pacari	Nina Pacari
Genaro Fessia	Genaro Fessia
Bae Doona	Bae Doona
William Rufus Shafter	William Rufus Shafter
Frank Graham (voice actor)	Frank Graham
Juan Manuel Molina	Juan Manuel Molina Morote
Martin Gritton	Martin Gritton
Radislav Krstić	Radislav Krstić
Viola (footballer)	Paulo Sérgio Rosa
Aleix Alcaraz	Aleix Alcaraz
Tris Coffin	Tris Coffin
Friedelind Wagner	Friedelind Wagner
Philibert of Châlon	Filiberto de Chalôns
Morning Runner	Morning Runner
Þórður kakali Sighvatsson	Þórður kakali Sighvatsson
Lars Riedel	Lars Riedel
Carlos Asensio Cabanillas	Carlos Asensio
Agnieszka Radwańska	Agnieszka Radwańska
Silvia Urbina	Silvia Urbina
Erik Weiner	Erik Weiner
Tomas Maier	Tomas Maier
Jake Vargas	Jake Vargas
Don MacLean (basketball)	Don MacLean
Marcel Martí	Marcel Martí
Émilie Simon	Émilie Simon
Rudolf Frentz	Rudolf Frentz
Massimo Mauro	Massimo Mauro
Juana Borrero	Juana Borrero
Stephan Keppler	Stephan Keppler
Zola Jesus	Zola Jesus
Carey Harrison	Carey Harrison
José Uribe	José Uribe
Dai Nagao	Dai Nagao
Georg Bachmayer	Georg Bachmayer
Edme Gaulle	Edme Gaulle
Miguel Ángel Jiménez	Miguel Ángel Jiménez
Diego Contento	Diego Contento
Fernando del Valle	Fernando del Valle
Thomas DiLorenzo	Thomas DiLorenzo
António Manoel de Vilhena	António Manoel de Vilhena
Mariano Ignacio Prado	Mariano Ignacio Prado Ochoa
Claudio Acquaviva	Claudio Aquaviva
Maurice Delage	Maurice Delage
Marco Rota	Marco Rota
Diosdado González Marrero	Usuario:Jatrobat/Diosdado González Marrero
Michael Kiske	Michael Kiske
Bunga Citra Lestari	Bunga Citra Lestari
Juan González (Uruguayan footballer)	Juan Antonio González Crespo
Walter Isaacson	Walter Isaacson
George Henschel	George Henschel
J. C. Bailey	Joseph Bailey
Rik Van Looy	Rik Van Looy
Prince Nicholas of Greece and Denmark	Nicolás de Grecia (1872-1938)
Ernst Laas	Ernst Laas
Tony Tan (Singaporean president)	Tony Tan Keng Yam
Bruno the Great	Bruno I de Colonia
Daniel Brinkmann	Daniel Brinkmann
Don Garber	Don Garber
G. Hannelius	Genevieve Hannelius
Patrik Ćavar	Patrick Ćavar
Georges Beuchat	Georges Beuchat
Léonard Bourdon	Léonard Bourdon
Marcelo Lucero	Marcelo Lucero
Catarina Ligendza	Catarina Ligendza
Gustavo Bobadilla	Gustavo Bobadilla
Gus Gerard	Gus Gerard
John Finnis	John Finnis
Larissa Costa	Larissa Costa
Melissa Hill	Melissa Hill
Marcos Ambrose	Marcos Ambrose
Abdón Reyes	Abdón Reyes
Sophia of Prussia	Sofía de Prusia
Sigurjón Þórðarson	Sigurjón Þórðarson
Lotte Lenya	Lotte Lenya
Rob Coombes	Rob Coombes
Kimberly J. Brown	Kimberly J. Brown
Judacot	Judacot
Tanya Chisholm	Tanya Chisholm
Barrington Moore, Jr.	Barrington Moore
Joe Hewitt (RAAF officer)	Joe Hewitt
Manuel Marín	Manuel Marín
Tito Davison	Tito Davison
Draga Mašin	Draga Mašin
Al McGuire	Al McGuire
Lucien Carr	Lucien Carr
K. S. Sudarshan	K. S. Sudarshan
Odo the Great	Odón el Grande
Dimitar Berbatov	Dimitar Berbatov
Jan Just Bos	Jan Justus Bos
Edward J. Ruppelt	Edward J. Ruppelt
Karl von Terzaghi	Karl von Terzaghi
Porsche Lynn	Porsche Lynn
Joaquim Amat-Piniella	Joaquim Amat-Piniella
Tolga Seyhan	Tolga Seyhan
David Ginola	David Ginola
Kostis Palamas	Kostís Palamás
Bob de Moor	Bob de Moor
Conjoined twins	Siameses
Jonathan Carver	Jonathan Carver
Chi McBride	Chi McBride
Anna Jagiellon	Ana Jagellón de Polonia
Denis Stracqualursi	Denis Stracqualursi
Konstantin Hierl	Konstantin Hierl
Evodius	Evodio de Antioquía
Nahas Angula	Nahas Angula
Manuel María Lombardini	Manuel María Lombardini
Kakha Kaladze	Kakha Kaladze
9th Dalai Lama	Lungtok Gyatso
Henry Ware Lawton	Henry W. Lawton
John Roberts (historian)	John Roberts (historiador)
Jacopo Bassano	Jacopo Bassano
Ivan Bolotnikov	Iván Bolótnikov
Pope Boniface IX	Bonifacio IX
Roque Esteban Scarpa	Roque Esteban Scarpa
José Hernández (writer)	José Hernández
Jorge Gastélum	Jorge Kalú Gastelum
Hendrik Casimir	Hendrik Casimir
Frederick Barlee	Frederick Barlee
Lisandro Henríquez	Lisandro Henríquez
Pope Eugene I	Eugenio I
Rosella Sensi	Rosella Sensi
Guillermo Ungo	Guillermo Manuel Ungo
Pope Benedict VIII	Benedicto VIII
Cornelius Gallus	Cayo Cornelio Galo
Yekaterina Vorontsova-Dashkova	Catalina Dashkov
Ayami Kojima	Ayami Kojima
Laure Junot, Duchess of Abrantès	Laura Permon
Boris Vukčević	Boris Vukčević
Dai Sijie	Dai Sijie
Johann Christian Reil	Johann Cristian Reil
Ernesto Piedras	Ernesto Piedras
Augusto Parra Muñoz	Augusto Parra
Antoine Charles Louis de Lasalle	Antoine Charles Louis Lasalle
Minoru Shirota	Minoru Shirota
Apostolos Doxiadis	Apostolos Doxiadis
Étienne-Jules Marey	Étienne Jules Marey
Pavel Dybenko	Pavel Dibenko
Ruben I, Prince of Armenia	Rubén I de Armenia
Marthe Camille Bachasson, Count of Montalivet	Camille de Montalivet
Pope Benedict XIII	Benedicto XIII (papa)
Pongsatorn Supinyo	Pongsatorn Supinyo
Phraates V of Parthia	Fraataces
Rafael Quirico	Rafael Quirico
Yadhira Carrillo	Yadhira Carrillo
Tori Black	Tori Black
François l'Olonnais	Jean-David Nau
Alexander von Bournonville	Alejandro de Bournonville
Amancio Ortega Gaona	Amancio Ortega
Luminița Anghel	Luminița Anghel
Juan Manuel Burgos	Juan Manuel Burgos
George Ratkovicz	George Ratkovicz
Roberto Lavagna	Roberto Lavagna
Francisco Pinto Balsemão	Francisco Pinto Balsemão
Jorge Muñoz	Jorge Muñoz
Bernard Knox	Bernard Knox
Giuseppe Berto	Giuseppe Berto
Magdalena de Pazzi	María Magdalena de Pazzi
Ludwig Carl Christian Koch	Ludwig Carl Christian Koch
Bill Oakley	Bill Oakley
Kamil Mikulčík	Kamil Mikulčík
Robert Huth	Robert Huth
Markus Fierz	Markus Fierz
Antonín Fivébr	Antón Fivébr
Ballon d'Or 1956	Balón de Oro 1956
Ferdinand of Majorca	Fernando de Mallorca
Liu Bolin	Liu Bolin
Galina Chistyakova	Galina Chistyakova
Gideon Gono	Gideon Gono
Alexandra Rosenfeld	Alexandra Rosenfeld
William Abram Mann	William Abram Mann
Oleg Yaroslavich	Oleg Yaroslávich
Marta Marrero	Marta Marrero
Yossi Avni-Levy	Yossi Avni-Levy
Víctor Hugo Castañeda	Víctor Hugo Castañeda
Ervin Williams	Ervin Williams
George Carew, 1st Earl of Totnes	George Carew
Segundo Montes	Segundo Montes
Pert Kelton	Pert Kelton
Daniela Kosán	Daniela Kosán
Nicholas Alexandrovich, Tsarevich of Russia	Nicolás Aleksándrovich Románov
Garri Bardin	Garri Bardin
José Alfredo Martínez de Hoz	José Alfredo Martínez de Hoz
György Spiró	György Spiró
Kevin Biegel	Kevin Biegel
Jordi Pigem	Jordi Pigem
Khujo	Khujo
Meir Sheetrit	Meir Sheetrit
Mara Manzan	Mara Manzan
Klaus von Dohnanyi	Klaus von Dohnanyi
Francisco Bayeu y Subías	Francisco Bayeu
Estradasphere	Estradasphere
Alfredo Alcón	Alfredo Alcón
Júlio Pomar	Júlio Pomar
Xhevdet Bajraj	Xhevdet Bajraj
Zach Woods	Zach Woods
Clint Murchison, Jr.	Clint Murchison, Jr.
Noel Alonso	Noel Alonso
Carla Antonelli	Carla Antonelli
Manic Street Preachers	Manic Street Preachers
Jacques Faty	Jacques Faty
Lili Haydn	Lili Haydn
Amélie of Leuchtenberg	Amelia de Beauharnais
Nazli Sabri	Nazli Sabri
Agathius	Acacio (Santo)
Facundo Bertoglio	Facundo Bertoglio
Priscilla Pointer	Priscilla Pointer
Ibn Khordadbeh	Ibn Khordadbeh
Juana Barraza	Juana Barraza Samperio
Gertrud von Le Fort	Gertrud von le Fort
Albert II, Margrave of Meissen	Alberto II de Meissen
Bill Roper (video game producer)	Bill Roper
Fred Melamed	Fred Melamed
Loïc Poujol	Loïc Poujol
Captain Beefheart	Captain Beefheart
Álvaro Cejudo	Álvaro Cejudo
Ryback (wrestler)	Ryan Reeves
John Philip Sousa	John Philip Sousa
John Knox	John Knox
Bertrand Dawson, 1st Viscount Dawson of Penn	Bertrand Dawson
Derrick Frost	Derrick Frost
Clifford Stein	Clifford Stein
Los TNT	Los TNT (trío)
Firidun bey Kocharli	Firidoun bey Kocharli
Pierre Edmond Boissier	Pierre Edmond Boissier
Hans Sebald Beham	Hans Sebald Beham
Merenre Nemtyemsaf II	Merenra II
Regine Olsen	Regine Olsen
Antar Yahia	Antar Yahia
The Dandy Warhols	The Dandy Warhols
Cyrus Thomas	Cyrus Thomas
Eduard August von Regel	Eduard August von Regel
Leandro Cufré	Leandro Cufré
Jean-Louis Brian	Jean-Louis Brian
John Hinostroza	John Hinostroza
The Famous Five (series)	Los cinco
Lana Jalosjos	Lana Jalosjos
Marsden Hartley	Marsden Hartley
Pope Stephen III	Esteban III
Noko	Noko
Leonidas Vargas	Leonidas Vargas
Mona Fong	Mona Fong
Great Peacemaker	El Gran Pacificador
Pope Clement IX	Clemente IX
Sobiesław Zasada	Sobiesław Zasada
Joseph Kosma	Joseph Kosma
Richard d'Avranches, 2nd Earl of Chester	Ricardo de Avranches
Simon Binnendijk	Simon Binnendijk
René de Girardin	René de Girardin
Niccolò Antonio Colantonio	Colantonio
Károly Khuen-Héderváry	Carlos Khuen-Héderváry
Jason Wade	Jason Wade
Enguerrand VII, Lord of Coucy	Enguerrand VII de Coucy
Paul Reubens	Paul Reubens
Dennis Lehane	Dennis Lehane
César Yauri Huanay	César Yauri Huanay
Zeno of Tarsus	Zenón de Tarso
Joey Waronker	Joey Waronker
Johan Borgen	Johan Borgen
Jordan Hamilton	Jordan Hamilton
Johann Hermann von Fersen	Johan von Fersen
Mariana Levy	Mariana Levy
Vjekoslav Ćurić	Vjekoslav Ćurić
Jean Meyer	Jean Meyer
Peter Singer	Peter Singer
Norman Foster, Baron Foster of Thames Bank	Norman Foster
Agis I	Agis I
Lucia Joyce	Lucia Joyce
Esther Dale	Esther Dale
Mervyn Morris	Mervyn Morris
Toshio Maeda	Toshio Maeda
Charles Eastman	Charles Alexander Eastman
Pseudo-Dionysius the Areopagite	Pseudo Dionisio Areopagita
Torey Hayden	Ghost Girl
Joseph Murphy (author)	Joseph Murphy
Gaston Rébuffat	Gaston Rébuffat
Claude Simon	Claude Simon
Jacopo Guarnieri	Jacopo Guarnieri
Ralph Greenson	Ralph Greenson
Richard Bellings	Richard Bellings
Cherríe Moraga	Cherríe Moraga
Johann Jakob Bachofen	Johann Jakob Bachofen
LeAnn Rimes	LeAnn Rimes
André Chastel	André Chastel
Władysław of Legnica	Władysław de Legnica
Mo Collins	Mo Collins
Louis L'Amour	Louis L'Amour
Martin Schulz	Martin Schulz
Jennylyn Mercado	Jennylyn Mercado
Nadja Uhl	Nadja Uhl
Raymond Klibansky	Raymond Klibansky
District X	Distrito X
Arturo Fernández (actor)	Arturo Fernández
Amir Derakh	Amir Derakh
Gisèle Halimi	Gisèle Halimi
Doug Reinhardt	Doug Reinhardt
Eneko Llanos	Eneko Llanos
Jan Fischer (politician)	Jan Fischer
Sam Taylor-Wood	Sam Taylor-Wood
Irene Komnene Doukaina	Irene Comnena Ducaina
Dramane Traoré	Dramane Traoré
Andrés Fabricio Romero	Andrés Fabricio Romero
Roberto Torretti	Roberto Torretti
Diego Dávila, 1st Marquis of Navamorcuende	Diego Dávila Coello
Jean Hubeau	Jean Hubeau
Gilberto Bosques Saldívar	Gilberto Bosques
Eric Lévi	Eric Lévi
Svetozar Gligorić	Svetozar Gligorić
Lasse Kjus	Lasse Kjus
Rodney Strasser	Rodney Strasser
Carlo Colombara	Carlo Colombara
Felipe Pérez Roque	Felipe Pérez Roque
Matthew of Edessa	Mateo de Edesa
Earl Boen	Earl Boen
Rafael Sáenz Rodríguez	Rafael Sáenz Rodríguez
Mauno Pekkala	Mauno Pekkala
Gonzalo Arango	Gonzalo Arango
James Bateman	James Bateman
Gerard van Swieten	Gerard van Swieten
Jeffrey Catherine Jones	Jeff Jones (artista)
Antti Niemi (footballer)	Antti Niemi
Zurab Noghaideli	Zurab Nogaideli
Arthur Adams (comics)	Art Adams
Javier Echevarría Rodríguez	Javier Echevarría Rodríguez
Anny Ondra	Anny Ondra
Albert Claude	Albert Claude
Pinetop Perkins	Pinetop Perkins
Mel Payton	Mel Payton
Bilkisu Funtuwa	Bilkisu Funtuwa
Stéphane Sednaoui	Stéphane Sednaoui
Arnulfo Valentierra	Arnulfo Valentierra
Gerald the Fearless	Gerardo Sempavor
Else Lasker-Schüler	Else Lasker-Schüler
Mauro Picotto	Mauro Picotto
Mark Felt	W. Mark Felt
Michael Stonebraker	Michael Stonebraker
Natalie Glebova	Natalie Glebova
Mario Hernández Lash	Mario Hernández Lash
Thomas Shelton (translator)	Thomas Shelton
William Sidney Mount	William Sidney Mount
M. C. Escher	M. C. Escher
Colin Groves	Colin Groves
Shane Black	Shane Black
Ivan Ljubičić	Ivan Ljubičić
Tyrone Power, Sr.	Tyrone Power, Sr.
Adolf Bernhard Christoph Hilgenfeld	Adolf Bernhard Christoph Hilgenfeld
José Dirceu	José Dirceu
Brian Hill (basketball coach)	Brian Hill
Marta Mangué	Marta Mangué
Pope Benedict V	Benedicto V
Ulrich von Türheim	Ulrich von Türheim
Roman of Bulgaria	Román de Bulgaria
Edward Rutherfurd	Edward Rutherfurd
Titus Aebutius Elva	Tito Ebucio Helva
Sidney Farber	Sidney Farber
Gholamreza Takhti	Gholamreza Tajtí
Pacorus I of Parthia	Pacoro I de Partia
Osama bin Laden	Osama bin Laden
Francine Pascal	Francine Pascal
Glenn Michibata	Glenn Michibata
Archduke Ernest of Austria	Ernesto de Austria
David Johnston	David Lloyd Johnston
Megan Gallagher	Megan Gallagher
Veljko Vlahović	Veljko Vlahović
Edmond Le Bœuf	Edmond Le Bœuf
José Luis Silva	José Luis Silva
Francesc de Tamarit	Francesc de Tamarit
Zdeněk Zlámal	Zdeněk Zlámal
Pedro Juan Gutiérrez	Pedro Juan Gutiérrez
José Joaquín Martínez	José Joaquín Martínez
Keri Kelli	Keri Kelli
Marilynne Robinson	Marilynne Robinson
Childebert III	Childeberto III
John Schlesinger	John Schlesinger
Moe Berg	Moe Berg
Gino Paoli	Gino Paoli
Alexey Vorobyov	Alexey Vorobyov
Arsenio Hall	Arsenio Hall
Jim Ankan Deka	Jim Ankan Deka
Kevin Saunderson	Kevin Saunderson
Johnny Clarke	Johnny Clarke
Henry Thomas Colebrooke	Henry Thomas Colebrooke
Antoine-Léonard de Chézy	Antoine-Léonard de Chézy
Franz Xaver Messerschmidt	Franz Xaver Messerschmidt
Luo Guanzhong	Luo Guanzhong
Steven Weinberg	Steven Weinberg
Hermann Lotze	Rudolf Hermann Lotze
Christoph Martin Wieland	Christoph Martin Wieland
Rachel Corrie	Rachel Corrie
Bartolomé Esteban Murillo	Bartolomé Esteban Murillo
Manuel Estrada Cabrera	Manuel Estrada Cabrera
Aselin Debison	Aselin Debison
Estrella Morente	Estrella Morente
Henry H. Arnold	Henry H. Arnold
Leslie Cheung	Leslie Cheung
Louis Nicolas Vauquelin	Louis Nicolas Vauquelin
American Idol (season 1)	American Idol (temporada 1)
Gregory Jarvis	Gregory Jarvis
Robert Hue	Robert Hue
Witness Lee	Witness Lee
Joey Beltram	Joey Beltram
Karlheinz Stockhausen	Karlheinz Stockhausen
Cao Pi	Cao Pi
Isidor Gunsberg	Isidor Gunsberg
Williamina Fleming	Williamina Fleming
Charles Lamb	Charles Lamb
Virginia Satir	Virginia Satir
Jean-Michel Atlan	Jean-Michel Atlan
Michael J. Smith (astronaut)	Michael Smith (astronauta)
Daniel Auber	Daniel-François Auber
Sargent Shriver	Sargent Shriver
Daniel Salamanca Urey	Daniel Salamanca
Gilbert O'Sullivan	Gilbert O'Sullivan
Zeppo Marx	Zeppo Marx
Chad Wackerman	Chad Wackerman
Denis of Portugal	Dionisio I de Portugal
John Fowles	John Fowles
Twiggy	Twiggy
Albert François Lebrun	Albert Lebrun
Berenguer Ramon II, Count of Barcelona	Berenguer Ramón II
Saint-John Perse	Saint-John Perse
John Reed (journalist)	John Reed
Steve Fossett	Steve Fossett
Chris Marker	Chris Marker
Charles I of England	Carlos I de Inglaterra
Yigal Allon	Yigal Alón
Francis Poulenc	Francis Poulenc
Bjørnstjerne Bjørnson	Bjørnstjerne Bjørnson
Cassius Dio	Dion Casio
Norman Wisdom	Norman Wisdom
Markus Wolf	Markus Wolf
Luis Carrero Blanco	Luis Carrero Blanco
Jackie Gleason	Jackie Gleason
John I of Aragon	Juan I de Aragón
Sallust	Salustio
Billy Zane	Billy Zane
Rilo Kiley	Rilo Kiley
Carl Andre	Carl Andre
Steffi Graf	Steffi Graf
Hot Hot Heat	Hot Hot Heat
Nobusuke Kishi	Nobusuke Kishi
Paul Wilson (musician)	Paul Wilson
Richard Seddon	Richard Seddon
Mel Tormé	Mel Tormé
Rob Barrett	Rob Barrett
Billy Ray Cyrus	Billy Ray Cyrus
Esthero	Esthero
