#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Augustin_de_Cantorbéry	church/royalty,0.5299145299145299	military,0.12179487179487179	literature + other,0.0876068376068376	family life,0.08547008547008547	royalty,0.05128205128205128	music,0.03205128205128205	sports,0.029914529914529916	orchestra,0.029914529914529916	politics,0.019230769230769232	film/tv,0.01282051282051282
Austin_Nichols_(acteur)	film/tv,0.46153846153846156	music,0.1575091575091575	sports,0.11355311355311355	family life,0.07326007326007326	politics,0.047619047619047616	royalty,0.03663003663003663	church/royalty,0.03296703296703297	literature + other,0.029304029304029304	orchestra,0.02564102564102564	military,0.02197802197802198
Ayumi_Hamasaki	music,0.5385767790262173	family life,0.18651685393258427	film/tv,0.07415730337078652	military,0.05318352059925094	orchestra,0.039700374531835204	politics,0.030711610486891385	sports,0.029213483146067417	literature + other,0.018726591760299626	church/royalty,0.015730337078651686	royalty,0.01348314606741573
Áedan_de_Dalriada	church/royalty,0.664804469273743	military,0.06517690875232775	royalty,0.06517690875232775	family life,0.054003724394785846	politics,0.04655493482309125	sports,0.03165735567970205	music,0.0260707635009311	literature + other,0.020484171322160148	orchestra,0.0148975791433892	film/tv,0.0111731843575419
Ban_Ki-moon	military,0.3088480801335559	politics,0.2938230383973289	family life,0.12186978297161936	sports,0.05676126878130217	film/tv,0.05509181969949917	music,0.041736227045075125	royalty,0.0333889816360601	church/royalty,0.03005008347245409	orchestra,0.03005008347245409	literature + other,0.028380634390651086
Bart_King	sports,0.21794871794871795	politics,0.11538461538461539	film/tv,0.11538461538461539	music,0.10256410256410256	church/royalty,0.08974358974358974	family life,0.07692307692307693	military,0.07692307692307693	royalty,0.07692307692307693	literature + other,0.0641025641025641	orchestra,0.0641025641025641
Barthélemy_Boganda	military,0.3396663577386469	literature + other,0.2731696014828545	politics,0.1494439295644115	family life,0.13623725671918444	royalty,0.051899907321594066	church/royalty,0.0159870250231696	orchestra,0.011816496756255792	sports,0.010194624652455977	music,0.008341056533827619	film/tv,0.003243744207599629
Basiliscus	church/royalty,0.5257890685142417	military,0.21478060046189376	family life,0.12548113933795227	literature + other,0.03926096997690531	royalty,0.03695150115473441	politics,0.020785219399538105	sports,0.016936104695919937	orchestra,0.008468052347959968	music,0.006928406466512702	film/tv,0.004618937644341801
Baudouin_de_Forde	church/royalty,0.3973509933774834	royalty,0.11258278145695365	family life,0.10596026490066225	military,0.07947019867549669	orchestra,0.07947019867549669	literature + other,0.0728476821192053	sports,0.039735099337748346	politics,0.039735099337748346	film/tv,0.039735099337748346	music,0.033112582781456956
Beatrice_du_Royaume-Uni	royalty,0.5660060463553913	family life,0.23580786026200873	military,0.0913671481357071	literature + other,0.02989586832381592	orchestra,0.02519314746388982	politics,0.016795431642593214	film/tv,0.01175680214981525	church/royalty,0.010413167618407793	sports,0.006382264024185421	music,0.006382264024185421
Bedřich_Smetana	orchestra,0.5857461024498887	family life,0.0935412026726058	politics,0.066815144766147	military,0.066815144766147	film/tv,0.042316258351893093	music,0.0378619153674833	royalty,0.035634743875278395	literature + other,0.031180400890868598	church/royalty,0.026726057906458798	sports,0.013363028953229399
Ben_Paschal	sports,0.23809523809523808	music,0.15476190476190477	film/tv,0.09523809523809523	politics,0.08333333333333333	military,0.08333333333333333	orchestra,0.08333333333333333	literature + other,0.07142857142857142	royalty,0.07142857142857142	family life,0.05952380952380952	church/royalty,0.05952380952380952
Benjamin_Harrison	politics,0.692435854715095	military,0.12895701432855713	family life,0.06431189603465512	royalty,0.031322892369210265	literature + other,0.025658113962012664	sports,0.023992002665778073	film/tv,0.014661779406864379	orchestra,0.009663445518160613	music,0.005331556147950683	church/royalty,0.0036654448517160947
Benjamin_Morrell	family life,0.45662100456621	politics,0.1232876712328767	military,0.0776255707762557	church/royalty,0.0730593607305936	literature + other,0.0684931506849315	film/tv,0.0547945205479452	royalty,0.0502283105022831	sports,0.0410958904109589	orchestra,0.0273972602739726	music,0.0273972602739726
Benjamin_Mountfort	orchestra,0.18181818181818182	military,0.11688311688311688	film/tv,0.1038961038961039	church/royalty,0.1038961038961039	family life,0.09090909090909091	literature + other,0.09090909090909091	sports,0.07792207792207792	politics,0.07792207792207792	royalty,0.07792207792207792	music,0.07792207792207792
Beorhtwulf_de_Mercie	church/royalty,0.6867954911433173	family life,0.13526570048309178	military,0.07971014492753623	sports,0.02254428341384863	literature + other,0.020933977455716585	royalty,0.016908212560386472	orchestra,0.013687600644122383	music,0.00966183574879227	politics,0.008051529790660225	film/tv,0.00644122383252818
Bernard_Fanning	music,0.1875	sports,0.109375	orchestra,0.109375	family life,0.09375	literature + other,0.09375	military,0.09375	politics,0.078125	film/tv,0.078125	church/royalty,0.078125	royalty,0.078125
Bert_Trautmann	sports,0.46140797285835455	military,0.22264631043256997	family life,0.20610687022900764	film/tv,0.019508057675996608	church/royalty,0.018659881255301103	royalty,0.017811704834605598	music,0.017387616624257845	politics,0.015267175572519083	orchestra,0.013994910941475827	literature + other,0.00720949957591179
Bette_Davis	film/tv,0.5913354175971416	family life,0.10317105850826262	music,0.08977221974095578	orchestra,0.053595355069227336	military,0.04510942384993301	royalty,0.04198302813756141	sports,0.030817329164805715	literature + other,0.019205002233139794	politics,0.012952210808396605	church/royalty,0.01205895489057615
Big_Star	music,0.49214659685863876	sports,0.07329842931937172	orchestra,0.07329842931937172	family life,0.06282722513089005	politics,0.06282722513089005	military,0.05759162303664921	church/royalty,0.05235602094240838	film/tv,0.04712041884816754	royalty,0.041884816753926704	literature + other,0.03664921465968586
Bill_Brown_(cricket)	sports,0.20588235294117646	military,0.1323529411764706	family life,0.10294117647058823	politics,0.10294117647058823	orchestra,0.08823529411764706	literature + other,0.07352941176470588	film/tv,0.07352941176470588	church/royalty,0.07352941176470588	royalty,0.07352941176470588	music,0.07352941176470588
Bill_O'Reilly_(cricket)	sports,0.44036697247706424	politics,0.08256880733944955	film/tv,0.08256880733944955	church/royalty,0.07339449541284404	literature + other,0.06422018348623854	music,0.06422018348623854	royalty,0.05504587155963303	family life,0.045871559633027525	military,0.045871559633027525	orchestra,0.045871559633027525
Bill_Ponsford	sports,0.6726190476190477	family life,0.06547619047619048	royalty,0.06547619047619048	military,0.057539682539682536	literature + other,0.02976190476190476	church/royalty,0.027777777777777776	orchestra,0.027777777777777776	film/tv,0.025793650793650792	politics,0.015873015873015872	music,0.011904761904761904
Bill_Russell	sports,0.6918576304241834	family life,0.14115065821550463	military,0.08898098488542175	politics,0.02437835202340322	film/tv,0.022671867381764993	music,0.008776206728425159	literature + other,0.007069722086786933	church/royalty,0.006338371526084837	royalty,0.006338371526084837	orchestra,0.0024378352023403218
Bix_Beiderbecke	orchestra,0.42045454545454547	music,0.23295454545454544	film/tv,0.0928030303030303	family life,0.08333333333333333	military,0.06439393939393939	sports,0.02462121212121212	politics,0.022727272727272728	royalty,0.020833333333333332	literature + other,0.01893939393939394	church/royalty,0.01893939393939394
Bob_Dylan	music,0.45196634709450206	family life,0.18313441596556446	film/tv,0.11426335355116415	literature + other,0.06574055957738212	orchestra,0.0635883388769321	military,0.06241440031305028	politics,0.024065740559577383	sports,0.019761299158677362	royalty,0.009587164938368226	church/royalty,0.005478379964781843
Bob_Meusel	sports,0.6143187066974596	military,0.09699769053117784	family life,0.09237875288683603	film/tv,0.08198614318706697	politics,0.03233256351039261	orchestra,0.02424942263279446	literature + other,0.017321016166281754	church/royalty,0.016166281755196306	music,0.016166281755196306	royalty,0.008083140877598153
Bob_Windle	sports,0.6666666666666666	family life,0.15384615384615385	military,0.05789909015715467	music,0.03391232423490488	film/tv,0.028949545078577336	politics,0.021505376344086023	literature + other,0.009925558312655087	church/royalty,0.009925558312655087	royalty,0.009098428453267164	orchestra,0.008271298593879239
Bobby_Robson	sports,0.6455182589450388	family life,0.1350055330136481	military,0.11766875691626706	royalty,0.02102545186278126	film/tv,0.018443378827001106	music,0.01770564367392106	politics,0.01733677609738104	church/royalty,0.014385835485060863	literature + other,0.00885282183696053	orchestra,0.004057543341940244
Bradley_Joseph	music,0.34057971014492755	film/tv,0.15942028985507245	orchestra,0.13768115942028986	family life,0.07246376811594203	sports,0.057971014492753624	literature + other,0.050724637681159424	politics,0.050724637681159424	military,0.043478260869565216	church/royalty,0.043478260869565216	royalty,0.043478260869565216
Brian_Horrocks	military,0.5	royalty,0.12804878048780488	film/tv,0.07621951219512195	politics,0.06097560975609756	orchestra,0.054878048780487805	music,0.051829268292682924	family life,0.039634146341463415	church/royalty,0.03353658536585366	sports,0.03048780487804878	literature + other,0.024390243902439025
Bronwyn_Bancroft	family life,0.19076923076923077	military,0.15076923076923077	politics,0.12615384615384614	music,0.10461538461538461	orchestra,0.09846153846153846	literature + other,0.08615384615384615	film/tv,0.08307692307692308	royalty,0.07384615384615385	sports,0.06769230769230769	church/royalty,0.018461538461538463
Bruno_Maddox	literature + other,0.171875	music,0.14583333333333334	family life,0.140625	military,0.13541666666666666	orchestra,0.109375	film/tv,0.10416666666666667	sports,0.06770833333333333	politics,0.052083333333333336	church/royalty,0.041666666666666664	royalty,0.03125
Bryan_Gunn	sports,0.5342465753424658	family life,0.091324200913242	politics,0.091324200913242	military,0.0684931506849315	royalty,0.0502283105022831	literature + other,0.0365296803652968	music,0.0365296803652968	film/tv,0.0319634703196347	church/royalty,0.0319634703196347	orchestra,0.0273972602739726
Calvin_Coolidge	politics,0.6727383120825744	military,0.12568306010928962	family life,0.08348512446873102	film/tv,0.03400121432908318	literature + other,0.02580449301760777	royalty,0.021554341226472373	music,0.015179113539769277	sports,0.008803885853066181	church/royalty,0.006375227686703097	orchestra,0.006375227686703097
Caroline_d'Ansbach	royalty,0.6148078725398313	family life,0.17713214620431114	military,0.08528584817244611	literature + other,0.041237113402061855	church/royalty,0.019681349578256794	orchestra,0.01499531396438613	sports,0.01358950328022493	politics,0.01358950328022493	film/tv,0.011246485473289597	music,0.008434864104967198
Carrière_militaire_de_Hugo_Chávez	military,0.3760855043420174	politics,0.26118904475617905	family life,0.19973279893119572	literature + other,0.05744822979291917	sports,0.024716098864395457	orchestra,0.02004008016032064	film/tv,0.018704074816299265	church/royalty,0.016700066800267203	royalty,0.014696058784235137	music,0.01068804275217101
