	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
Isaac Brock	0.000288878965732333	0.00522500383675667	0.00823499682609	0.0613537273918	0.00622416550145667	0.0189045967727667	0.001009689613087	0.010568890353911	0.00132898586467433	0.0458644829523	0.0138472934318667	0.000261781965207933	0.0587412303480333	0.000802370895821	0.00639612315735333	0.375180589053	0.385767193070333
Isaac Shelby	0.00293312587508667	0.0141450614541	0.00139332485100833	0.0734296849699333	0.000138723344861	0.0448077729501667	0.000387765885266	0.00172589968835933	0.000543644101746667	0.0706393769189333	0.173614573304	6.72589076814e-05	0.075182893174152	0.000177428008601	0.00109844524178367	0.306677191290667	0.233037830033
J. C. W. Beckham	0.000116989119351767	0.0142206583146267	0.00405955572514	0.000662034386973333	0.000244338586071	0.0514480773274333	0.000604105718522667	0.003369936626975	0.000239065819553333	0.0911497443069333	0.620216659622667	0.0001283205611139	0.0310212567951267	0.001555422047894	0.0198682922521333	0.003725324483603	0.157370218306
J. R. Richard	0.002044627963019	0.00516763211841	0.000800866407247667	4.34745897839667e-05	0.000365009442330333	0.00220738054377667	0.000203239777184667	0.0213448332251253	0.000292611978424	0.0527615406504667	0.001409200886593	0.000530388804990333	0.0001290766165202	0.0233434227285667	0.797850889947	0.0001822040336975	0.0913236002867667
Jack Marsh	0.000112077107799267	0.000266458173552333	0.000862039798945667	0.0144727055859	0.0218446163375333	0.0627704654801	0.000953793327864667	0.0467519036281963	0.000276503425726	0.107409658401733	0.0381634733535333	0.000120001170662167	0.000244371545343967	0.00341861925853667	0.410914777404667	0.000466588132342667	0.290951947867667
Jacques Plante	0.00270714126513267	0.0146034849329667	0.0319703623217667	9.70255067884333e-05	0.001868481554679	0.00258644735214167	0.011782837865	0.0373785247624	0.000771096415729667	0.113889367709333	0.000492477730793333	0.000255029584955133	0.000337233603997667	0.0114440644245387	0.586111409975333	0.000695645082806333	0.183009369911667
James B. McCreary	0.000270903919266	0.0530104856897	0.0219718473575667	0.00413476542222167	0.00118793599576833	0.00802403679960433	0.000615162654663333	0.00168697223029333	0.000928567115043333	0.0402336899264667	0.611915945958333	0.000132948354936167	0.02775313233359	0.00101415443844433	0.00642702400060667	0.0689032446772667	0.151789183126
James E. Boyd (scientist)	0.000260312055579467	0.121344652553333	0.332276682373	0.000173818136141333	0.000214814154434667	0.00133451707519767	0.000294079755494	0.00178614919125467	0.000693670979913667	0.0122944027810333	0.137167783936133	0.000735954117896667	0.00332261173243	0.119612433039	0.0610657373251333	0.0305281096989	0.176894271095333
James G. Blaine	7.59882718907e-05	0.0208458863538333	0.00901031251043667	0.0132358095129763	0.0029477289258	0.0151268117225667	0.0119194583034333	0.000263643127071333	0.000112778879190967	0.107318860753633	0.456392538960333	0.000765512470321	0.0333172414126267	0.000510673825468	0.00421755343335	0.0122296991888893	0.311709502348333
James Garrard	0.000479249533366333	0.0284279457710333	0.00316820349127667	0.0211377133189333	0.000326205983148	0.0306586818063333	0.000557142875672667	0.000620770575646	0.000728360370822667	0.0654761956608333	0.540205792356333	0.0350126564770667	0.0421880745804667	0.000360826145005333	0.000222729271711667	0.0219333427603267	0.208496109022
James Newland	0.000158271740402333	0.00581157425464	0.0358403562222333	0.0223865547446183	0.000147800301057633	0.0365108466572667	0.000523363679899333	0.00139864052197067	0.000427744849953	0.147914728248667	0.001061340820586	0.000248658408760667	0.00128085341208933	0.0001978852014906	0.000771420864015333	0.706326188878333	0.0389937711940667
James Rowland (RAAF officer)	0.000511563617795667	0.00501315891426	0.156611881924	0.0524250324404175	0.00340304497949667	0.0347401674663333	0.000379081745763333	0.00222507728342667	0.000503321986861	0.0276268213171667	0.116675367947667	0.000929410637383	0.0188874059388333	0.0282641561541633	0.00191365223998	0.313550099463	0.236340755943667
James Thomas Aubrey, Jr.	9.01601599519667e-05	0.100355248863333	0.000384352315833333	0.0006172852530283	0.00588998459138	0.0320940886631333	0.015491289117	0.324002834382333	0.00121381804949267	0.0265430548443333	0.0598652032302	0.000295412741203	0.00820821281362	0.025467152832976	0.00608599396195667	0.00477122357961433	0.388624684600667
James Tod	0.00439397926822667	0.00245728537564333	0.103008369461667	0.0345473784509	0.140908087741667	0.000893208550845667	0.100498796219467	0.000960291437400333	0.000189187260046667	0.00505307394689333	0.0655444272174333	0.00228799082000333	0.107472062650033	0.000579513914077	0.000259179251623667	0.0331977247791333	0.397749443655
James Whiteside McCay	0.000298217954614667	0.0122439168432563	0.0872327659089333	0.0259165518606683	0.000420772028543	0.00166089905660167	0.00173626597345367	0.000576197753516667	0.000426762310453333	0.144681018352667	0.211117389764	0.00220810017879	0.00528508125628333	0.00115074382998233	0.001419891045917	0.313907007368	0.189718418514
Jerry Pentland	0.000447834849327	0.0509294990255	0.0159429367947267	0.1323348589293	0.000128771815387333	0.000327692379197	0.000569161742232	0.00871853209662533	0.00511108642318	0.143611093902333	0.00144326546986	0.000965569980966667	0.00391248075398333	0.0397496023209163	0.0378237147054667	0.416813779155	0.141170119656333
Jerry Voorhis	0.0001303228777524	0.0537913194089667	0.103550373632133	0.000156848854684333	0.000554120025978333	0.00281975663702	0.002351798304133	0.0261883877297683	0.0001453597930529	0.108041550550667	0.381772774480333	0.01308379340527	0.001192250183158	0.00329198438998643	0.00870570063829	0.0188201857415667	0.275403473347
Jesse L. Brown	0.00274262639098267	0.00429524517591333	0.0982055839822333	0.109086984742129	0.000787358740142333	0.000663284745842667	0.000533752420644	0.03769087871019	0.000526620012502333	0.131860942054333	0.000640785187517333	0.000117770661923667	0.0003584252169674	0.0198180973069007	0.0115449082220033	0.353909660592667	0.227217075837
Jimmy McAleer	0.000174083779867133	0.0156631648757667	0.0410738041229667	0.000322436336523333	0.000308320855645667	0.0297835141903667	0.000843190826672333	0.0169184028617933	0.00828001600816667	0.172303323671667	0.0452843303669	7.60051105644333e-05	0.00784123826545333	0.0028218745506586	0.384454550495333	0.00496309159769467	0.268888652084
Jocelin of Glasgow	0.000306269012891	0.00270869365641	0.0132890330560533	0.00146993854832933	0.002002346930375	0.000723987922513	0.01051746246726	0.00265909844561	0.000276368007204667	0.00699396738127333	0.0649126668839667	0.287302212900333	0.220423353647	0.000157232264743467	0.000504805353428333	0.005722927064344	0.380029636458667
Joel Selwood	0.000140456271427733	0.00167637685567333	0.0573370745723333	0.000212271982363333	0.000307972703943333	0.000498865190990667	0.000174950829835	0.0437419421516667	0.000259630193705	0.00389488886892667	0.0330626581692	5.77845136569e-05	0.00220446516242133	9.89502859795333e-05	0.747200397933333	0.0001576764703546	0.108973637844
Johann von Klenau	0.00847919372734667	0.00484501603240667	0.000187033738071667	0.0241751428032817	0.00361609707854867	0.000414847037166333	0.000119928677333333	0.00289655219404467	0.000153707254380833	0.00742954432821667	0.0165560163925867	3.46793507944667e-05	0.1329996530758	0.000294855709504667	0.00685404580612333	0.567485125770667	0.223458561023667
John Adair	8.85315469862333e-05	0.0180503806975233	0.00524437692353	0.0130013911753833	0.00163165471630033	0.127684434292333	0.0137326464700333	0.001932402875284	0.00036993555241	0.0153636887254467	0.292297668671667	0.000360424087715733	0.0349864330287567	0.000963022512459	0.000375462484793667	0.224208607192667	0.249708939046333
John Balmer	0.000480877653685667	0.000436230310155333	0.0286500854451667	0.163731594169033	0.00283547365402	0.01709798793843	0.002131234731733	0.00727543810071	0.01130908626988	0.0228732400611667	0.01013578298581	0.000828756614446	0.00206753498683333	0.00515494355196	0.0254495940966467	0.51684082502	0.18270131441
John Brooke-Little	0.000564548772780667	0.00128510815423	0.293340944704333	0.000760132793539667	0.01189029285226	0.000808822489318667	0.01824711531959	0.00449585853525333	0.000556527162976667	0.0598538119346667	0.0648199281873667	0.00979634184179333	0.221516199931667	0.001323832709562	0.000750140259053667	0.0726990465500333	0.237291347802
John Day (printer)	0.0206122152141367	0.133196910758667	0.0121316783125167	0.000421753847897633	0.000557439823276333	0.0385393885943667	0.276089442159	0.00464174481639	0.0163718337411667	0.0177797769701867	0.0130279543611117	0.0688233468212667	0.0690468850059333	0.0575968060846747	0.00979834328425333	0.00122919800080533	0.260135282204667
John de Gray	0.000242322468588667	0.00113166041025333	0.001188533279551	0.000395552861706367	0.000663038080436333	0.000767887590910333	0.00993423319028	0.00088931559344	0.000441671578784667	0.00917594712191	0.150102746859	0.225332493405	0.365395353563333	0.000818701856615667	0.000411630221299667	0.034061174014338	0.199047737905
John Douglas (architect)	0.569835957271333	0.0498921942078667	0.0176526329094	0.0105948970873833	0.000206712449996333	0.000650019126675033	0.0105935082715167	0.000892554556110667	0.001263480504999	0.170614044697667	0.000624338378250667	0.0225799609688667	0.00774157133450667	0.00596341078009033	0.00332151362023	0.000182043124925333	0.127391160710667
John Edward Brownlee as Attorney-General of Alberta	8.57618060125333e-05	0.0877487358986667	0.00249284423898	0.00757407494798667	0.00388919360752	0.0464572825039333	0.000417839918741667	0.000645350915531333	0.0036510997259	0.00473164099877333	0.451720779039	7.39323696844667e-05	0.00562822270004867	0.0108984954520867	0.000267548250827	0.0001930491814151	0.373524148444667
John F. Bolt	5.75012037547667e-05	0.0020363696692	0.0801288378506667	0.128703071712047	0.000281143363078	0.00090831344759	0.000257329722024	0.004619721057761	0.000281929722333333	0.126692515702	0.00116194796718667	6.08253907383667e-05	0.000328439850732667	0.0211832101623805	0.036914411361	0.494311655856	0.102072775961667
