ARTICLE_NAME	Art	Business_and_economics	Exploration	Law_and_crime	Life	Literature	Music	Politics	Popular_culture	Science_and_technology	Sports	TV_and_film	War_and_military
Peter Schreier	0.0613275613276	0.0194805194805	0.020202020202	0.0238095238095	0.145021645022	0.0551948051948	0.299422799423	0.0339105339105	0.0122655122655	0.0284992784993	0.0465367965368	0.0645743145743	0.012987012987
Peter Sellers	0.00553415275485	0.0121078701156	0.0022014309301	0.0943863511282	0.106861126399	0.030636580444	0.037699504678	0.00528954931817	0.0272732831896	0.0188038891946	0.0169693634196	0.293310096007	0.0208830184064
Peter Singer	0.00425826896415	0.0476827094474	0.00440681323034	0.048375916023	0.0369875222816	0.0419389978214	0.00599128540305	0.0703604674193	0.0300059417706	0.165280253516	0.0161418102595	0.00534759358289	0.003367003367
Peter Sutherland	0.0155490767736	0.151765468092	0.00728862973761	0.0448655652737	0.0591188856495	0.0147392290249	0.0103660511824	0.301263362488	0.0255911888565	0.0646258503401	0.0639779721412	0.0249433106576	0.0220278587626
Peter Tillemans	0.414427499395	0.0176712660373	0.0469619946744	0.0515613652869	0.078431372549	0.0537400145243	0.0367949648995	0.0154926167998	0.0176712660373	0.0179133381748	0.0660856935367	0.0159767610748	0.0125877511498
Peter Ueberroth	0.0123886953155	0.213511420828	0.0075493612079	0.095818815331	0.0420054200542	0.0127758420441	0.0127758420441	0.156407278358	0.0241966705381	0.0189701897019	0.253193960511	0.0290360046458	0.00851722802942
Peter van de Kamp	0.0665393186883	0.0175103470232	0.0175103470232	0.0515759312321	0.0990130531678	0.0289716650748	0.106972301815	0.0359758038841	0.00859598853868	0.312320916905	0.0464820120981	0.0582617000955	0.0111429481057
Peter Watkins	0.0905035054175	0.00722328446994	0.0172084130019	0.0752071383047	0.0189080093478	0.080093477799	0.0395156150414	0.127682175483	0.0316549819418	0.0473762481411	0.0503505417463	0.192904185256	0.0246441470151
Petr Chelčický	0.0146705146705	0.029822029822	0.0151515151515	0.037037037037	0.0295815295815	0.0603655603656	0.0122655122655	0.124338624339	0.00962000962001	0.032227032227	0.02405002405	0.0180375180375	0.0358345358345
Petre Dumitrescu	0.0208333333333	0.0123456790123	0.0497685185185	0.0451388888889	0.0590277777778	0.0177469135802	0.0189043209877	0.0389660493827	0.0111882716049	0.0246913580247	0.0648148148148	0.0162037037037	0.456018518519
Petre P. Carp	0.0149636680573	0.0363907005895	0.00689425544	0.0428540650645	0.0222692285093	0.0461640911139	0.00399553440273	0.378459368941	0.00654170828682	0.0363319427307	0.0162367549993	0.00550365278023	0.0315725561627
Petrus Apianus	0.121481481481	0.0174074074074	0.04	0.0203703703704	0.104074074074	0.0988888888889	0.0248148148148	0.0274074074074	0.0125925925926	0.252222222222	0.0403703703704	0.0218518518519	0.00925925925926
Pharrell Williams	0.042381307482	0.0141685309471	0.00584141188168	0.0279642058166	0.0346756152125	0.0605269699229	0.511185682327	0.0129256773552	0.0919711657967	0.0292070594084	0.0321899080288	0.0497141436739	0.00385284613473
Phil Anselmo	0.011361603149	0.0140454464126	0.0187869028449	0.149042762569	0.0448201825013	0.0314009661836	0.470567185543	0.0101091429594	0.0199499015924	0.01055645017	0.0535874038289	0.0233494363929	0.00393630345321
Phil Collins	0.0155786350148	0.0245219254863	0.00486317177712	0.0298796571052	0.0996950214309	0.0145895153314	0.445062644247	0.0181338608638	0.0548961424332	0.018752060666	0.0349901088032	0.0970161556215	0.00300857237059
Phil Hartman	0.0187606594656	0.0155391320826	0.00277935695787	0.114143136883	0.0849598888257	0.0461752258228	0.0306992609437	0.0140862864001	0.0309519297581	0.016865643358	0.0555871391573	0.281283557577	0.00379003221527
Phil Jackson	0.0099045560958	0.00513236088601	0.00342157392401	0.0417792184405	0.066630650099	0.020439402125	0.00594273365748	0.0192688636773	0.0235008103728	0.0150369169818	0.556906176841	0.018818656582	0.00585269223843
Phil Lynott	0.0186529542246	0.0162331115144	0.00483968542045	0.0590844928413	0.175136116152	0.0382133494656	0.404214559387	0.0213752772736	0.0177455132083	0.0104859850776	0.0262149626941	0.0252066948982	0.00675539423271
Phil McGraw	0.0085553389647	0.110244747672	0.00379034004765	0.147173489279	0.0933506606021	0.0347628330084	0.0114793155729	0.012887156162	0.12897985705	0.115442928308	0.0636777128005	0.141650422352	0.0085553389647
Phil Vassar	0.0116009280742	0.0097963392627	0.0203660737303	0.0177880897138	0.0912606341841	0.0232018561485	0.647847383346	0.0175302913122	0.0177880897138	0.0118587264759	0.0600670275844	0.0170146945089	0.0067027584429
Philip Berrigan	0.030960238881	0.023416627377	0.004243281471	0.265912305516	0.0790507622191	0.030645921735	0.013358478705	0.197548326261	0.017444601603	0.020744931636	0.036775106082	0.032846141757	0.0683639792551
Philip de László	0.10496267018	0.010101010101	0.0193236714976	0.0210803689065	0.47913921827	0.0430390865173	0.0333772507686	0.0245937637242	0.014053579271	0.0245937637242	0.0588493631972	0.0215195432587	0.0131752305665
Philip Gourevitch	0.0246354952237	0.0135746606335	0.0221216691805	0.0502765208648	0.125691302162	0.312719959779	0.0326797385621	0.117144293615	0.0346907993967	0.0301659125189	0.0638511814982	0.027149321267	0.0206133735545
