#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Beorhtwulf_of_Mercia	church/royalty,0.7418326693227092	family,0.10916334661354582	royalty,0.06454183266932272	politics,0.016733067729083666	military,0.014342629482071713	literature,0.014342629482071713	music,0.011155378486055778	sports,0.009561752988047808	explorers,0.009561752988047808	cricket,0.008764940239043825
Bernard_Bosanquet_(cricketer)	cricket,0.7532985578398281	family,0.16017183185026082	literature,0.02332003682111077	sports,0.02209266646210494	royalty,0.017796870205584535	explorers,0.006443694384780607	military,0.005216324025774778	music,0.0046026388462718625	politics,0.00368211107701749	church/royalty,0.0033752684872660325
Bernard_Fanning	music,0.5274914089347079	family,0.24828178694158076	cricket,0.08247422680412371	literature,0.05154639175257732	royalty,0.027491408934707903	politics,0.024054982817869417	explorers,0.011168384879725086	sports,0.010309278350515464	military,0.010309278350515464	church/royalty,0.006872852233676976
Bert_Trautmann	sports,0.43027129938124703	family,0.2513089005235602	military,0.12327463112803427	cricket,0.0823417420276059	politics,0.029509757258448358	literature,0.020942408376963352	explorers,0.019990480723465015	royalty,0.018086625416468348	music,0.013802950975725845	church/royalty,0.010471204188481676
Bette_Davis	literature,0.5186836518046709	family,0.3021231422505308	politics,0.04883227176220807	sports,0.04182590233545647	music,0.035881104033970275	royalty,0.020806794055201697	cricket,0.014012738853503185	military,0.0074309978768577496	explorers,0.0065817409766454355	church/royalty,0.003821656050955414
Big_Star	music,0.628957528957529	family,0.24633204633204633	literature,0.05675675675675676	cricket,0.013127413127413128	royalty,0.012741312741312742	sports,0.011583011583011582	explorers,0.011583011583011582	military,0.008108108108108109	politics,0.0069498069498069494	church/royalty,0.003861003861003861
Bill_Brown_(cricketer)	cricket,0.8300092052776925	family,0.1024854249769868	military,0.0122737035900583	sports,0.01104633323105247	literature,0.010432648051549556	explorers,0.007977907333537895	politics,0.007977907333537895	royalty,0.007977907333537895	church/royalty,0.007057379564283523	music,0.0027615833077631177
Bill_Newton	military,0.557542768273717	family,0.16485225505443235	cricket,0.11975116640746501	explorers,0.04821150855365474	sports,0.04121306376360809	literature,0.017884914463452566	royalty,0.017107309486780714	church/royalty,0.013219284603421462	politics,0.013219284603421462	music,0.006998444790046656
Bill_O'Reilly_(cricketer)	cricket,0.68567668348322	family,0.18052204430796226	literature,0.04145645974994516	politics,0.021715288440447466	royalty,0.020179864005264312	sports,0.01754770783066462	military,0.016231629743364773	explorers,0.009870585654748848	music,0.004386926957666155	church/royalty,0.002412809826716385
Bill_Ponsford	cricket,0.6914893617021277	family,0.18523153942428036	sports,0.03879849812265332	military,0.02409261576971214	royalty,0.018460575719649562	literature,0.013454317897371715	music,0.007822277847309137	politics,0.007509386733416771	explorers,0.006570713391739674	church/royalty,0.006570713391739674
Bill_Russell	sports,0.675594039468385	family,0.23137333870318164	literature,0.027587595650422875	politics,0.02517116391461941	military,0.009061619009262988	royalty,0.007450664518727346	explorers,0.00684655658477648	cricket,0.00644381796214257	music,0.005235602094240838	church/royalty,0.005235602094240838
Bix_Beiderbecke	music,0.4952665670154459	family,0.2785251619332337	literature,0.08993522670652715	politics,0.03687095166915795	royalty,0.03114100647732935	sports,0.025411061285500747	explorers,0.018933731938216243	church/royalty,0.008221225710014948	cricket,0.008221225710014948	military,0.007473841554559043
Black_Francis	music,0.6680602006688964	family,0.16513377926421405	literature,0.05100334448160535	explorers,0.03804347826086957	royalty,0.030100334448160536	sports,0.014632107023411372	politics,0.011705685618729096	military,0.00919732441471572	church/royalty,0.006688963210702341	cricket,0.005434782608695652
Blair_Wark	military,0.7533718689788054	family,0.08285163776493257	royalty,0.04238921001926782	explorers,0.030828516377649325	cricket,0.029865125240847785	sports,0.016377649325626204	politics,0.01348747591522158	music,0.012524084778420038	literature,0.010597302504816955	church/royalty,0.007707129094412331
Bob_Dylan	music,0.5358994297563504	family,0.22019180922757906	literature,0.13426645930533956	politics,0.0321410057024365	sports,0.023976153447382062	explorers,0.01503369621565578	royalty,0.012960082944530845	cricket,0.012312078797304303	church/royalty,0.007776049766718507	military,0.005443234836702955
Bob_McEwen	politics,0.6292618338298577	family,0.21482952664680569	literature,0.037073816617014234	cricket,0.030122476001324065	sports,0.029791459781529295	music,0.017543859649122806	explorers,0.017212843429328037	military,0.011916583912611719	church/royalty,0.007282356835484938	royalty,0.004965243296921549
Bob_Meusel	sports,0.7212572373862697	cricket,0.10090984284532671	family,0.06451612903225806	military,0.028122415219189414	explorers,0.021505376344086023	literature,0.0206782464846981	politics,0.017369727047146403	royalty,0.009925558312655087	music,0.008271298593879239	church/royalty,0.007444168734491315
Bob_Windle	sports,0.672027972027972	family,0.13566433566433567	cricket,0.1027972027972028	military,0.02727272727272727	politics,0.022377622377622378	literature,0.011888111888111888	church/royalty,0.00909090909090909	music,0.006993006993006993	royalty,0.006293706293706294	explorers,0.005594405594405594
Bobby_Eaton	sports,0.6827747466874513	family,0.16445830085736554	music,0.03858144972720187	explorers,0.02377240841777085	literature,0.02338269680436477	cricket,0.020654715510522212	royalty,0.01675759937646142	politics,0.012470771628994544	military,0.012081060015588464	church/royalty,0.005066250974279034
Bobby_Robson	sports,0.5544658493870402	family,0.18598949211908933	cricket,0.07145359019264448	royalty,0.056742556917688265	literature,0.044133099824868655	military,0.03187390542907181	politics,0.02276707530647986	explorers,0.015411558669001752	church/royalty,0.009106830122591943	music,0.008056042031523642
Bradley_Joseph	music,0.6184486373165619	family,0.24150943396226415	literature,0.059958071278826	explorers,0.02348008385744235	politics,0.02012578616352201	sports,0.010062893081761006	church/royalty,0.008385744234800839	cricket,0.0067085953878406705	military,0.006289308176100629	royalty,0.005031446540880503
Brian_Booth	cricket,0.7429746401644962	family,0.14427690198766277	sports,0.0387251542152159	politics,0.018848526387936944	royalty,0.01610692254969157	literature,0.01405071967100754	explorers,0.0075394105551747775	church/royalty,0.0075394105551747775	military,0.005140507196710075	music,0.004797806716929404
