#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Rufus_Wilmot_Griswold	literature,0.49523052464228934	family,0.314785373608903	royalty,0.07114467408585055	politics,0.04014308426073132	explorers,0.02424483306836248	music,0.015500794912559618	sports,0.013910969793322734	military,0.009936406995230525	church/royalty,0.008346581875993641	cricket,0.006756756756756757
Rush_(band)	music,0.6610938619536662	family,0.19321710054931931	sports,0.04991640792930499	literature,0.03821351803200382	politics,0.01791258657750179	church/royalty,0.009075710532600907	explorers,0.008836876044900884	cricket,0.008836876044900884	military,0.006687365655600669	royalty,0.006209696680200621
Russell_T_Davies	literature,0.5280476339705421	family,0.22171732999059857	music,0.08523973675963648	sports,0.06831714196176747	politics,0.02695079912253212	royalty,0.025227201504230648	cricket,0.025227201504230648	church/royalty,0.007521153243497336	explorers,0.0070510811657787525	military,0.004700720777185835
Rutherford_B._Hayes	politics,0.6880652989190381	family,0.20030884623869402	military,0.0472093536289433	literature,0.01588352084712111	explorers,0.013456871828810942	royalty,0.012353849547760865	sports,0.009265387160820648	church/royalty,0.005294506949040371	cricket,0.004632693580410324	music,0.003529671299360247
S.H.E	music,0.4947994056463596	family,0.20356612184249628	literature,0.18053491827637444	sports,0.0549777117384844	military,0.016716196136701337	explorers,0.015973254086181277	politics,0.01225854383358098	cricket,0.011515601783060922	church/royalty,0.005200594353640416	royalty,0.004457652303120356
Sam_Loxton	cricket,0.7169578622816033	family,0.13566289825282632	politics,0.06104830421377184	sports,0.04316546762589928	military,0.017060637204522097	literature,0.0067831449126413155	music,0.006372045220966085	royalty,0.005344295991778006	explorers,0.0039054470709146967	church/royalty,0.0036998972250770813
Sam_Loxton_with_the_Australian_cricket_team_in_England_in_1948	cricket,0.909972299168975	family,0.06059556786703601	military,0.004501385041551247	literature,0.004155124653739612	music,0.004155124653739612	royalty,0.004155124653739612	explorers,0.003808864265927978	sports,0.0034626038781163434	politics,0.002770083102493075	church/royalty,0.0024238227146814403
Samantha_Smith	family,0.30053547523427043	explorers,0.2034805890227577	literature,0.1392235609103079	military,0.13052208835341367	politics,0.0997322623828648	music,0.048862115127175365	royalty,0.040160642570281124	sports,0.020080321285140562	church/royalty,0.012717536813922356	cricket,0.004685408299866131
Samuel_Johnson	literature,0.45550692924872355	family,0.38712618526622905	royalty,0.10047410649161197	politics,0.016776075857038657	explorers,0.008935083880379285	music,0.008570386579139314	church/royalty,0.00674690007293946	cricket,0.006382202771699489	sports,0.005105762217359592	military,0.00437636761487965
Sandra_Morgan	sports,0.5952380952380952	family,0.14208909370199693	cricket,0.10215053763440861	military,0.03456221198156682	politics,0.0314900153609831	explorers,0.026113671274961597	literature,0.019969278033794162	royalty,0.019969278033794162	church/royalty,0.018433179723502304	music,0.009984639016897081
Sandy_Koufax	sports,0.740985775719484	family,0.1620906384386371	literature,0.027456169368177307	cricket,0.015547469401257029	politics,0.010916308303010255	explorers,0.00992391663910023	military,0.00959311941779689	music,0.00959311941779689	royalty,0.008269930532583526	church/royalty,0.005623552762156798
Sarah_Churchill,_Duchess_of_Marlborough	royalty,0.5913673597983616	family,0.3273471959672338	politics,0.0315059861373661	literature,0.013862633900441084	sports,0.008821676118462508	cricket,0.008191556395715185	church/royalty,0.005671077504725898	military,0.005356017643352237	explorers,0.005356017643352237	music,0.002520478890989288
Sarah_Trimmer	literature,0.5615898058252428	family,0.28762135922330095	royalty,0.043689320388349516	church/royalty,0.04308252427184466	politics,0.027305825242718445	explorers,0.010012135922330098	cricket,0.009405339805825242	sports,0.007888349514563107	music,0.0054611650485436895	military,0.003944174757281553
Sasha_(DJ)	music,0.6837719298245614	family,0.17280701754385966	sports,0.03333333333333333	literature,0.02587719298245614	politics,0.02412280701754386	cricket,0.015789473684210527	explorers,0.014035087719298246	military,0.012719298245614035	royalty,0.012719298245614035	church/royalty,0.004824561403508772
Satyajit_Ray	literature,0.6505487985760902	family,0.2109166419460101	music,0.041530703055473156	politics,0.024621773954316226	church/royalty,0.01661228122218926	cricket,0.015722337585286267	sports,0.010679323642835954	military,0.010382675763868289	explorers,0.010382675763868289	royalty,0.008602788490062296
Scott_Zolak	sports,0.774171270718232	family,0.09046961325966851	cricket,0.027624309392265192	music,0.024861878453038673	politics,0.020718232044198894	literature,0.016574585635359115	explorers,0.015883977900552487	military,0.013812154696132596	royalty,0.010359116022099447	church/royalty,0.0055248618784530384
Sebastian_Shaw_(actor)	literature,0.4725	family,0.2025	music,0.102	royalty,0.0805	military,0.0545	sports,0.0415	cricket,0.02	explorers,0.012	church/royalty,0.0085	politics,0.0060
Selena	music,0.4702549575070821	family,0.15203021718602455	explorers,0.10103871576959396	literature,0.07554296506137866	sports,0.05571293673276676	politics,0.05193578847969783	military,0.028328611898016998	royalty,0.027384324834749764	church/royalty,0.02077431539187913	cricket,0.0169971671388102
Sex_Pistols	music,0.5168098899442183	family,0.32172470978441126	literature,0.06211367405397256	royalty,0.022764963063470527	explorers,0.02201115633951455	politics,0.02155887230514096	cricket,0.009045680687471733	military,0.008894919342680536	sports,0.00844263530830695	church/royalty,0.006633499170812604
Shelton_Benjamin	sports,0.7600816743236345	family,0.07656967840735068	literature,0.03471158754466565	explorers,0.031138335885655948	politics,0.025523226135783564	church/royalty,0.022460438999489536	music,0.018376722817764167	royalty,0.012761613067891782	cricket,0.010209290454313425	military,0.00816743236345074
Shen_Kuo	literature,0.2976212428545086	church/royalty,0.2705144753826295	family,0.26406048312742025	explorers,0.06380232343721187	politics,0.04019915176101789	music,0.03374515950580859	military,0.013461183846579385	sports,0.006453992255209293	cricket,0.006085192697768763	royalty,0.004056795131845842
Sid_Barnes	cricket,0.5926391947153192	family,0.2900283107895565	literature,0.028939918213274615	royalty,0.01981755268952501	military,0.01730103806228374	sports,0.016986473733878578	politics,0.014784523435042466	music,0.008493236866939289	explorers,0.005662157911292859	church/royalty,0.0053475935828877
Sid_Barnes_with_the_Australian_cricket_team_in_England_in_1948	cricket,0.772795216741405	family,0.18261086198305929	literature,0.013702042850024913	explorers,0.009217737917289488	politics,0.006726457399103139	sports,0.004235176880916791	military,0.0029895366218236174	music,0.0027404085700049826	royalty,0.0027404085700049826	church/royalty,0.002242152466367713
Sigi_Schmid	sports,0.7087818696883853	family,0.10934844192634562	politics,0.039660056657223795	military,0.038526912181303115	cricket,0.028895184135977338	literature,0.02322946175637394	music,0.02209631728045326	explorers,0.01529745042492918	church/royalty,0.009631728045325779	royalty,0.004532577903682719
Silverchair	music,0.6603498542274052	family,0.18549562682215742	cricket,0.04227405247813411	literature,0.03498542274052478	sports,0.026239067055393587	politics,0.01749271137026239	military,0.011661807580174927	explorers,0.008017492711370262	royalty,0.006924198250728863	church/royalty,0.006559766763848397
Simeon_I_of_Bulgaria	church/royalty,0.630832570905764	family,0.16285452881976212	military,0.06495882891125343	explorers,0.04666056724611162	royalty,0.036139066788655076	literature,0.026989935956084173	politics,0.011436413540713633	music,0.00960658737419945	cricket,0.0054894784995425435	sports,0.005032021957913998
Simon_Bolivar_Buckner	politics,0.5559714188499489	military,0.17250765566519224	family,0.1714869003062266	explorers,0.053079278666212995	literature,0.00918679823069071	royalty,0.00918679823069071	sports,0.008166042871725076	cricket,0.008166042871725076	church/royalty,0.006805035726437564	music,0.005444028581150051
Sir_William_Bruce,_1st_Baronet,_of_Balcaskie	royalty,0.531810766721044	family,0.19303969548667754	literature,0.11364872213159326	explorers,0.06688417618270799	music,0.0255573681348559	military,0.021750951604132682	sports,0.015225666122892877	church/royalty,0.014138118542686243	politics,0.011419249592169658	cricket,0.0065252854812398045
Siward,_Earl_of_Northumbria	church/royalty,0.5938410320432792	royalty,0.23470661672908863	family,0.11860174781523096	politics,0.009987515605493134	sports,0.008739076154806492	cricket,0.008739076154806492	literature,0.007906783187682065	explorers,0.00749063670411985	military,0.005409904286308781	music,0.004577611319184353
Slayer	music,0.641958041958042	family,0.17902097902097902	sports,0.03104895104895105	church/royalty,0.028811188811188812	royalty,0.028531468531468533	military,0.024335664335664337	cricket,0.02013986013986014	literature,0.018461538461538463	explorers,0.017622377622377623	politics,0.01006993006993007
Solomon_P._Sharp	politics,0.6498316498316499	family,0.1388888888888889	explorers,0.05303030303030303	literature,0.04377104377104377	military,0.03872053872053872	royalty,0.034511784511784514	church/royalty,0.015993265993265993	music,0.009259259259259259	cricket,0.009259259259259259	sports,0.006734006734006734
Stamata_Revithi	sports,0.3482880755608028	family,0.2644628099173554	church/royalty,0.12987012987012986	literature,0.0885478158205431	politics,0.048406139315230225	explorers,0.04604486422668241	military,0.03305785123966942	royalty,0.01652892561983471	music,0.012987012987012988	cricket,0.011806375442739079
Stan_Musial	sports,0.6989987484355444	family,0.15926157697121401	cricket,0.04380475594493116	politics,0.0344180225281602	military,0.01877346683354193	explorers,0.014080100125156446	literature,0.013141426783479349	royalty,0.007822277847309137	music,0.00688360450563204	church/royalty,0.002816020025031289
Stanley_Goble	military,0.7007251153592617	family,0.15293342122610415	politics,0.03889255108767304	royalty,0.026367831245880026	explorers,0.02241265655899802	cricket,0.01977587343441002	sports,0.014502307185234015	music,0.01054713249835201	literature,0.008569545154911009	church/royalty,0.005273566249176005
Stanley_Holloway	literature,0.46156909597769813	family,0.1449621664675428	music,0.14058144165671047	royalty,0.06730386300278773	military,0.06053365193150139	sports,0.041417761847869376	cricket,0.030665073675826365	politics,0.027877339705296694	explorers,0.019115890083632018	church/royalty,0.005973715651135006
Stede_Bonnet	explorers,0.5647111509180475	family,0.2140618002686968	royalty,0.07075682937751904	military,0.052395879982086876	literature,0.026869682042095836	politics,0.02239140170174653	sports,0.016569637259292433	cricket,0.01567398119122257	church/royalty,0.011195700850873265	music,0.005373936408419167
Stephen,_King_of_England	royalty,0.5681429681429682	family,0.24055944055944056	church/royalty,0.0933954933954934	military,0.050194250194250195	politics,0.014607614607614608	cricket,0.00947940947940948	explorers,0.008236208236208237	literature,0.006993006993006993	sports,0.005439005439005439	music,0.0029526029526029526
Stephen_Crane	literature,0.4385171790235081	family,0.3325497287522604	explorers,0.07359855334538878	politics,0.04159132007233273	military,0.04014466546112116	royalty,0.03218806509945751	sports,0.013924050632911392	cricket,0.0108499095840868	church/royalty,0.00922242314647378	music,0.007414104882459313
Stephen_Trigg	politics,0.5155592935239697	explorers,0.15559293523969722	family,0.15138772077375945	royalty,0.07232968881412952	military,0.04625735912531539	cricket,0.014297729184188394	sports,0.011774600504625737	music,0.011774600504625737	literature,0.010933557611438183	church/royalty,0.010092514718250631
Stereolab	music,0.6926476496584973	family,0.16793893129770993	literature,0.05303334672559261	politics,0.01807955002008839	cricket,0.015267175572519083	sports,0.01446364001607071	explorers,0.011651265568501407	royalty,0.010044194455604661	church/royalty,0.009642426677380474	military,0.007231820008035355
Steve_Bruce	sports,0.5937873357228196	family,0.21823974512146554	cricket,0.08920748705694942	military,0.023894862604540025	royalty,0.019912385503783353	politics,0.019115890083632018	literature,0.016726403823178016	explorers,0.0067702110712863405	church/royalty,0.006371963361210673	music,0.005973715651135006
Steve_Dodd	literature,0.4831358249772106	family,0.13764813126709208	cricket,0.09845031905195989	military,0.07839562443026436	sports,0.06472196900638104	explorers,0.04375569735642662	music,0.041932543299908843	politics,0.018231540565177756	church/royalty,0.01731996353691887	royalty,0.016408386508659983
Stigand	royalty,0.659070191431176	church/royalty,0.14995442114858706	family,0.14448495897903374	explorers,0.011394712853236098	politics,0.010027347310847767	sports,0.007748404740200547	music,0.0054694621695533276	military,0.004102096627164996	literature,0.004102096627164996	cricket,0.0036463081130355514
Strapping_Young_Lad	music,0.6974310180780209	family,0.20076117982873454	literature,0.02235965746907707	sports,0.01807802093244529	cricket,0.015223596574690771	military,0.012844909609895337	church/royalty,0.009990485252140819	politics,0.009039010466222646	royalty,0.008563273073263558	explorers,0.005708848715509039
Suleiman_the_Magnificent	church/royalty,0.477891156462585	family,0.2248299319727891	military,0.08537414965986395	explorers,0.07210884353741497	royalty,0.04829931972789116	literature,0.04557823129251701	politics,0.030272108843537416	cricket,0.007823129251700681	sports,0.00510204081632653	music,0.0027210884353741495
Susianna_Kentikian	sports,0.6326116373477673	family,0.16914749661705006	military,0.05615696887686062	church/royalty,0.03450608930987822	music,0.02571041948579161	literature,0.02435723951285521	politics,0.018944519621109608	explorers,0.015561569688768605	royalty,0.011502029769959404	cricket,0.011502029769959404
Sviatoslav_I_of_Kiev	church/royalty,0.5483870967741935	family,0.20683111954459202	royalty,0.055660974067046176	explorers,0.048703352308665404	literature,0.04174573055028463	military,0.036053130929791274	politics,0.02340290955091714	sports,0.018975332068311195	music,0.013282732447817837	cricket,0.006957621758380772
Sydney_Newman	literature,0.4440894568690096	family,0.29818956336528224	politics,0.08732694355697551	sports,0.04952076677316294	music,0.03354632587859425	military,0.025026624068157616	cricket,0.025026624068157616	explorers,0.01650692225772098	royalty,0.012247071352502662	church/royalty,0.008519701810436636
Sylvanus_Morley	church/royalty,0.3247670149675233	family,0.3112115221688789	literature,0.20276757977972323	explorers,0.0674950578932505	politics,0.031064670996893532	music,0.019768426998023156	military,0.019203614798079638	sports,0.011296243998870376	royalty,0.006777746399322226	cricket,0.005648121999435188
Talbot_Baines_Reed	literature,0.5224344735673034	family,0.25721901377165707	royalty,0.07774322523322967	politics,0.04042647712127943	sports,0.027543314082629944	cricket,0.02221235006663705	explorers,0.019546868058640605	music,0.011994669035984007	military,0.011550422034651266	church/royalty,0.009329187027987561
Tarrare	family,0.5543219666931007	explorers,0.22283901665344966	military,0.0689928628072958	royalty,0.045995241871530534	literature,0.03330689928628073	music,0.028548770816812053	cricket,0.014274385408406027	politics,0.012688342585249802	sports,0.011102299762093577	church/royalty,0.007930214115781126
Teresa_Cristina_of_the_Two_Sicilies	family,0.38805194805194804	church/royalty,0.2742857142857143	royalty,0.17454545454545456	literature,0.0851948051948052	explorers,0.0187012987012987	music,0.017662337662337664	politics,0.015064935064935066	military,0.009870129870129871	sports,0.008311688311688312	cricket,0.008311688311688312
Terry_Sanford	politics,0.5938921377517868	family,0.18453541260558803	military,0.0539311241065627	literature,0.05198180636777128	royalty,0.03573749187784275	sports,0.021442495126705652	explorers,0.016244314489928524	music,0.016244314489928524	church/royalty,0.014944769330734242	cricket,0.011046133853151396
The_Greencards	music,0.649060436769934	family,0.15490096495683087	literature,0.05281868969019807	cricket,0.033011681056373796	politics,0.03148806500761808	sports,0.028440832910106652	explorers,0.020822752666328086	military,0.016251904520060943	royalty,0.008633824276282377	church/royalty,0.0045708481462671405
The_Kinks	music,0.6044018058690744	family,0.25357411587659895	literature,0.0716704288939052	sports,0.019375470278404815	royalty,0.014108352144469526	politics,0.012039127163280662	cricket,0.011662904439428141	church/royalty,0.004702784048156509	military,0.004326561324303988	explorers,0.004138449962377728
The_Orb	music,0.6976112920738328	family,0.1967969598262758	literature,0.0499457111834962	explorers,0.013843648208469055	sports,0.011943539630836048	cricket,0.007328990228013029	royalty,0.0067861020629750276	military,0.005971769815418024	church/royalty,0.0054288816503800215	politics,0.004343105320304018
The_Smashing_Pumpkins	music,0.6916259168704156	family,0.22402200488997556	literature,0.028117359413202935	royalty,0.013753056234718826	politics,0.010085574572127139	military,0.008863080684596576	cricket,0.006723716381418093	explorers,0.006112469437652812	church/royalty,0.005501222493887531	sports,0.00519559902200489
The_Turk	sports,0.30779392338177014	family,0.2797225891677675	literature,0.18064729194187581	military,0.05548216644649934	royalty,0.053500660501981503	politics,0.04854689564068692	music,0.03665785997357992	explorers,0.019815059445178335	cricket,0.011228533685601057	church/royalty,0.0066050198150594455
The_Wiggles	music,0.44241435562805875	family,0.26460032626427404	literature,0.14518760195758565	cricket,0.05774877650897227	military,0.02838499184339315	sports,0.024143556280587276	politics,0.01729200652528548	explorers,0.010440456769983687	royalty,0.007504078303425775	church/royalty,0.0022838499184339315
Theobald_of_Bec	royalty,0.7544567776656576	family,0.16548940464177597	church/royalty,0.03464513958964009	politics,0.015136226034308779	literature,0.007736293306424487	military,0.007063572149344097	explorers,0.004372687521022536	music,0.004372687521022536	sports,0.003699966363942146	cricket,0.0030272452068617556
Theoren_Fleury	sports,0.665988470668023	family,0.2129535435740929	politics,0.029840623940318754	literature,0.0254323499491353	explorers,0.017293997965412006	music,0.016615801966768397	royalty,0.011190233977619531	church/royalty,0.007799253984401492	military,0.00678195998643608	cricket,0.006103763987792472
Theramenes	church/royalty,0.44107213243988963	family,0.3094205754828538	politics,0.10366574694521088	explorers,0.06779661016949153	military,0.028774142688214426	literature,0.018131651556957035	sports,0.015766653527788728	cricket,0.0063066614111154905	royalty,0.005518328734726055	music,0.0035474970437524636
Thich_Quang_Duc	explorers,0.48106246925725527	family,0.2690605017215937	politics,0.06689621249385146	literature,0.05705853418593212	military,0.03295622233152976	royalty,0.03148057058534186	church/royalty,0.02557796360059026	music,0.013280865715691098	sports,0.01278898180029513	cricket,0.009837678307919331
Thomas_Baker_(aviator)	military,0.7577586206896552	family,0.08448275862068966	cricket,0.04310344827586207	literature,0.02327586206896552	royalty,0.02327586206896552	sports,0.019827586206896553	church/royalty,0.014655172413793103	music,0.01293103448275862	explorers,0.010344827586206896	politics,0.010344827586206896
Thomas_Beecham	music,0.5419108280254777	family,0.1946496815286624	royalty,0.10038216560509554	literature,0.06573248407643312	politics,0.026242038216560508	military,0.02394904458598726	sports,0.018853503184713377	cricket,0.01630573248407643	explorers,0.007898089171974522	church/royalty,0.004076433121019108
Thomas_Blamey	military,0.6541112752338749	family,0.20580994583948795	politics,0.06302314130969966	royalty,0.024618414574101428	explorers,0.013786312161496799	literature,0.011324470704086657	cricket,0.011078286558345642	sports,0.007139340226489414	church/royalty,0.004923682914820286	music,0.004185130477597243
Thomas_C._Hindman	politics,0.34786685419596813	explorers,0.24800750117205814	family,0.19690576652601968	military,0.10220346929207688	royalty,0.03984997655883732	literature,0.02015939990623535	music,0.014064697609001406	sports,0.012189404594467886	cricket,0.011720581340834505	church/royalty,0.007032348804500703
Thomas_C._Kinkaid	military,0.6998435054773083	family,0.10735524256651018	politics,0.07355242566510173	explorers,0.042566510172143975	royalty,0.0297339593114241	sports,0.017527386541471048	literature,0.01564945226917058	cricket,0.005633802816901409	church/royalty,0.005007824726134585	music,0.003129890453834116
Thomas_Cranmer	royalty,0.45514812512948	family,0.31095918790138805	church/royalty,0.1383882328568469	literature,0.041226434638491814	politics,0.02610316967060286	sports,0.008908224570126373	military,0.0053863683447275745	cricket,0.004972032318210068	explorers,0.0045576962916925624	music,0.00435052827843381
Thomas_Crisp	explorers,0.3274907749077491	family,0.23800738007380073	military,0.22970479704797048	royalty,0.05719557195571956	literature,0.042435424354243544	cricket,0.042435424354243544	politics,0.023985239852398525	sports,0.014760147601476014	music,0.013837638376383764	church/royalty,0.01014760147601476
Thomas_of_Bayeux	royalty,0.7139344262295082	family,0.15163934426229508	church/royalty,0.04016393442622951	politics,0.03278688524590164	literature,0.014754098360655738	explorers,0.013114754098360656	cricket,0.010655737704918032	music,0.00819672131147541	sports,0.007377049180327869	military,0.007377049180327869
Thomas_Percy_(Gunpowder_Plot)	royalty,0.5556343019135365	family,0.2884479092841956	explorers,0.06307583274273565	politics,0.019844082211197732	military,0.01559177888022679	cricket,0.01559177888022679	church/royalty,0.012048192771084338	sports,0.010630758327427357	music,0.009922041105598866	literature,0.009213323883770375
Thomas_Playford_IV	politics,0.4898284096939678	family,0.3161153369892093	military,0.06810543074473731	literature,0.04493189456925526	cricket,0.0417477445604104	royalty,0.017335927825933132	explorers,0.007606580576684946	church/royalty,0.005837608349548912	music,0.004422430567840085	sports,0.004068636122412878
Thomas_R._Marshall	politics,0.5825991189427313	family,0.32599118942731276	literature,0.02092511013215859	royalty,0.01486784140969163	explorers,0.013491189427312776	sports,0.012940528634361233	church/royalty,0.009361233480176211	military,0.007709251101321586	music,0.006607929515418502	cricket,0.005506607929515419
Thomas_the_Slav	church/royalty,0.5170267301354815	family,0.2845111680703039	military,0.08202123764188941	explorers,0.048333943610399124	politics,0.022336140607835956	royalty,0.015012815818381545	music,0.009154155986818015	sports,0.008787989747345295	cricket,0.007323324789454412	literature,0.005492493592090809
Thrasybulus	church/royalty,0.483409238776838	family,0.24853610930383865	military,0.10930383864671438	politics,0.08588158750813273	explorers,0.025374105400130124	cricket,0.013012361743656473	royalty,0.011711125569290826	literature,0.009759271307742356	sports,0.009108653220559532	music,0.003903708523096942
Thurisind	church/royalty,0.6803170409511229	family,0.19088507265521795	military,0.037648612945838836	literature,0.027080581241743725	explorers,0.013870541611624834	royalty,0.013210039630118891	politics,0.012549537648612946	sports,0.010568031704095112	music,0.007926023778071334	cricket,0.0059445178335535
Thurman_Tucker	sports,0.7813288477712363	family,0.0782169890664424	cricket,0.044575273338940284	military,0.03616484440706476	politics,0.020185029436501262	explorers,0.009251471825063078	literature,0.008410428931875526	music,0.008410428931875526	royalty,0.007569386038687973	church/royalty,0.005887300252312868
Tim_Duncan	sports,0.7459266802443992	family,0.15427698574338086	literature,0.03360488798370672	politics,0.018584521384928717	music,0.014256619144602852	cricket,0.010183299389002037	explorers,0.009419551934826884	royalty,0.006619144602851324	military,0.004327902240325866	church/royalty,0.00280040733197556
Tiny_Thompson	sports,0.829205807002562	family,0.04696840307429547	cricket,0.028181041844577284	military,0.024765157984628524	literature,0.017933390264730998	politics,0.013663535439795047	music,0.012809564474807857	royalty,0.011955593509820665	explorers,0.007685738684884714	church/royalty,0.006831767719897523
Tiridates_I_of_Armenia	church/royalty,0.5308796007485964	family,0.24329382407985028	military,0.056144728633811605	royalty,0.041796631316281974	politics,0.035558328134747345	explorers,0.03368683718028696	literature,0.01933873986275733	music,0.018091079226450407	sports,0.012476606363069246	cricket,0.008733624454148471
Tom_Crean_(explorer)	explorers,0.5718884120171673	family,0.20708154506437768	military,0.07081545064377683	cricket,0.040236051502145924	royalty,0.03755364806866953	sports,0.03648068669527897	music,0.011266094420600859	politics,0.0101931330472103	literature,0.008583690987124463	church/royalty,0.005901287553648069
Tom_Derrick	military,0.6541318477251625	family,0.21634168987929434	explorers,0.026462395543175487	sports,0.0255338904363974	literature,0.02042711234911792	cricket,0.019962859795728878	royalty,0.014856081708449397	music,0.008356545961002786	politics,0.007428040854224698	church/royalty,0.0064995357474466105
Tom_Driberg	family,0.3333333333333333	politics,0.28926038500506585	literature,0.15020263424518743	royalty,0.0980243161094225	military,0.06231003039513678	explorers,0.021783181357649443	music,0.014944275582573455	church/royalty,0.012664640324214792	cricket,0.010131712259371834	sports,0.007345491388044579
Tom_Pryce	sports,0.6016144349477682	family,0.1889838556505223	military,0.05745489078822412	cricket,0.03751187084520418	royalty,0.029914529914529916	literature,0.027065527065527065	politics,0.023741690408357077	explorers,0.016144349477682812	church/royalty,0.00949667616334283	music,0.008072174738841406
Ton_That_Dinh	explorers,0.5026972353337829	family,0.2585974376264329	military,0.11328388401888065	politics,0.0799055967633176	royalty,0.011463250168577209	literature,0.009440323668240054	sports,0.008428860418071477	cricket,0.006743088334457181	church/royalty,0.0057316250842886045	music,0.0037086985839514496
Tool_(band)	music,0.6578026592022393	family,0.2218334499650105	literature,0.04688593421973408	sports,0.015045486354093772	politics,0.012596221133659902	cricket,0.01119664100769769	explorers,0.010146955913226032	royalty,0.009097270818754374	military,0.008047585724282715	church/royalty,0.00734779566130161
Toru_Takemitsu	music,0.5218759836323575	family,0.25401322001888577	literature,0.14888259364180045	military,0.02612527541706012	explorers,0.0169971671388102	church/royalty,0.009442870632672332	sports,0.006924771797293044	politics,0.005980484734025811	royalty,0.005980484734025811	cricket,0.003777148253068933
Trevor_Linden	sports,0.8443560417702636	family,0.07956240676280457	politics,0.014917951268025857	royalty,0.0139234211834908	church/royalty,0.011934361014420686	music,0.0104425658876181	military,0.008950770760815515	cricket,0.007458975634012929	literature,0.0044753853804077575	explorers,0.003978120338140228
Tyrone_Wheatley	sports,0.7467895949950609	family,0.15409944023707606	politics,0.02041488310833059	literature,0.017122160026341784	cricket,0.014817253868949621	military,0.01415870925255186	royalty,0.010207441554165295	music,0.008890352321369773	explorers,0.008231807704972012	church/royalty,0.005268356931182087
U2	music,0.6177884615384616	family,0.20245726495726496	literature,0.07104700854700854	politics,0.026976495726495728	sports,0.023237179487179488	cricket,0.015758547008547008	explorers,0.01282051282051282	military,0.012553418803418804	royalty,0.010416666666666666	church/royalty,0.006944444444444444
Uncle_Tupelo	music,0.6498765432098765	family,0.19111111111111112	literature,0.03654320987654321	politics,0.030123456790123456	sports,0.02271604938271605	explorers,0.02123456790123457	cricket,0.015308641975308642	church/royalty,0.013333333333333334	royalty,0.011851851851851851	military,0.007901234567901235
Uriel_Sebree	explorers,0.428988326848249	military,0.19601167315175097	family,0.1614785992217899	politics,0.13959143968871596	music,0.019455252918287938	sports,0.017023346303501944	literature,0.013618677042801557	church/royalty,0.00924124513618677	cricket,0.007782101167315175	royalty,0.006809338521400778
Urse_d'Abetot	royalty,0.7317767653758542	family,0.10193621867881549	church/royalty,0.09624145785876993	politics,0.022779043280182234	music,0.011389521640091117	literature,0.01082004555808656	explorers,0.01082004555808656	military,0.0056947608200455585	sports,0.005125284738041002	cricket,0.003416856492027335
Valston_Hancock	military,0.7349726775956285	family,0.12773224043715847	politics,0.03415300546448088	royalty,0.03415300546448088	explorers,0.018442622950819672	cricket,0.014344262295081968	sports,0.01366120218579235	literature,0.01366120218579235	church/royalty,0.00546448087431694	music,0.0034153005464480873
Vidkun_Quisling	family,0.37886748394629305	military,0.29013426736719206	politics,0.14244016345592528	explorers,0.09165207238762405	literature,0.030550690795874684	royalty,0.027048063825647013	church/royalty,0.023934617629889084	cricket,0.0060323020042809886	music,0.005253940455341506	sports,0.004086398131932283
Virginia_Eliza_Clemm_Poe	family,0.3739910313901345	literature,0.3663677130044843	royalty,0.14394618834080716	politics,0.04439461883408072	explorers,0.03094170403587444	music,0.012556053811659192	church/royalty,0.008520179372197309	military,0.007623318385650224	cricket,0.007623318385650224	sports,0.004035874439461884
Vivien_Leigh	literature,0.5134155184916607	family,0.3353879622915156	royalty,0.04169688179840464	music,0.0337200870195794	cricket,0.025380710659898477	military,0.01704133430021755	sports,0.009427121102248005	explorers,0.009427121102248005	church/royalty,0.007976794778825236	politics,0.006526468455402465
W._B._Yeats	literature,0.4871329094762337	family,0.3178928247048138	royalty,0.0675143808658795	politics,0.03511958825310324	music,0.025431425976385105	church/royalty,0.022403875264910687	military,0.015440508628519528	explorers,0.012110202845897668	sports,0.01059642749016046	cricket,0.006357856494096276
W._S._Gilbert	literature,0.4778499704666273	family,0.2761370348493798	music,0.0939161252215003	royalty,0.0661547548730065	cricket,0.029533372711163616	politics,0.02303603071470762	explorers,0.013585351447135264	military,0.010927347903130538	church/royalty,0.005611340815121087	sports,0.0032486709982279976
Wail_al-Shehri	explorers,0.5853840417598807	family,0.18120805369127516	military,0.055182699478001494	politics,0.0447427293064877	literature,0.035794183445190156	sports,0.0343027591349739	music,0.02237136465324385	cricket,0.015659955257270694	church/royalty,0.013422818791946308	royalty,0.011931394481730051
Waisale_Serevi	sports,0.7229287090558767	cricket,0.1210019267822736	family,0.05009633911368015	royalty,0.03352601156069364	military,0.022350674373795763	explorers,0.015414258188824663	music,0.01348747591522158	literature,0.010789980732177264	church/royalty,0.005394990366088632	politics,0.005009633911368015
Wallis_Simpson	royalty,0.46558418637486765	family,0.2707377338510413	literature,0.10624779385810096	military,0.04835863042710907	explorers,0.04165195905400635	politics,0.030709495234733496	sports,0.013060360042357924	music,0.008118602188492764	church/royalty,0.008118602188492764	cricket,0.007412636780797741
Wally_Hammond	cricket,0.7151783914533361	family,0.20036283007458175	sports,0.02297923805684338	military,0.01854464825639992	literature,0.012699052610360815	royalty,0.01169119129207821	politics,0.008667607337230397	explorers,0.0056440233823825845	music,0.0024188671638782503	church/royalty,0.0018141503729086877
